Date,Season,Rslt,Points,eFG%,TOV,TOV%,ORB,ORB%,FT%,STL,BLK,FGA,FTA,Opp_Points,Opp_eFG%,Opp_TOV,Opp_TOV%,Opp_ORB,Opp_ORB%,Opp_FT%,Opp_STL,Opp_BLK,Opp_FGA,Opp_FTA,Source_File
2023-11-06,2023-2024,W,122.0,0.632,7.0,0.07210548001648126,20.0,0.5405405405405406,0.34210526315789475,16.0,7.0,76.0,32.0,Morgan State,0.455,25.0,0.2853881278538813,6.0,0.18181818181818182,0.14285714285714285,3.0,6.0,56.0,15.0,arizona.csv
2023-11-10,2023-2024,W,78.0,0.508,17.0,0.18905693950177935,12.0,0.35294117647058826,0.18461538461538463,8.0,5.0,65.0,18.0,Duke,0.492,11.0,0.13533464566929135,5.0,0.14705882352941177,0.13846153846153847,9.0,3.0,65.0,12.0,arizona.csv
2023-11-13,2023-2024,W,97.0,0.595,23.0,0.23750516315572076,13.0,0.43333333333333335,0.4827586206896552,7.0,2.0,58.0,36.0,Southern,0.365,14.0,0.1640112464854733,6.0,0.15,0.20634920634920634,12.0,2.0,63.0,19.0,arizona.csv
2023-11-17,2023-2024,W,100.0,0.603,14.0,0.14912654452492544,16.0,0.48484848484848486,0.2647058823529412,7.0,4.0,68.0,27.0,Belmont,0.475,14.0,0.16973811833171676,4.0,0.1111111111111111,0.16393442622950818,9.0,4.0,61.0,17.0,arizona.csv
2023-11-19,2023-2024,W,101.0,0.596,11.0,0.12141280353200884,10.0,0.3448275862068966,0.1917808219178082,12.0,7.0,73.0,15.0,UT Arlington,0.418,18.0,0.2135738016136687,5.0,0.13513513513513514,0.08196721311475409,6.0,5.0,61.0,12.0,arizona.csv
2023-11-23,2023-2024,W,74.0,0.5,10.0,0.12853470437017994,9.0,0.28125,0.2542372881355932,8.0,5.0,59.0,20.0,Michigan State,0.445,9.0,0.11369378473976756,9.0,0.2903225806451613,0.171875,6.0,2.0,64.0,14.0,arizona.csv
2023-12-02,2023-2024,W,82.0,0.514,12.0,0.13392857142857142,13.0,0.35135135135135137,0.1267605633802817,13.0,1.0,71.0,15.0,Colgate,0.481,18.0,0.2429805615550756,0.0,0.0,0.07547169811320754,7.0,0.0,53.0,7.0,arizona.csv
2023-12-09,2023-2024,W,98.0,0.683,7.0,0.08924018357980622,4.0,0.18181818181818182,0.26666666666666666,5.0,6.0,60.0,26.0,Wisconsin,0.486,8.0,0.09813542688910697,6.0,0.15384615384615385,0.07142857142857142,3.0,0.0,70.0,8.0,arizona.csv
2023-12-16,2023-2024,L,84.0,0.565,13.0,0.1584592881521209,5.0,0.2,0.22580645161290322,8.0,1.0,62.0,16.0,Purdue,0.615,12.0,0.14058106841611998,11.0,0.34375,0.18461538461538463,10.0,3.0,65.0,19.0,arizona.csv
2023-12-20,2023-2024,W,87.0,0.462,14.0,0.14693534844668346,14.0,0.3888888888888889,0.4153846153846154,13.0,3.0,65.0,37.0,Alabama,0.4,17.0,0.1819349315068493,13.0,0.3023255813953488,0.3384615384615385,10.0,3.0,65.0,26.0,arizona.csv
2023-12-23,2023-2024,L,95.0,0.429,12.0,0.11066027296200664,22.0,0.4583333333333333,0.25882352941176473,12.0,1.0,85.0,26.0,Florida Atlantic,0.556,16.0,0.1652892561983471,6.0,0.17647058823529413,0.2222222222222222,9.0,1.0,72.0,20.0,arizona.csv
2023-12-29,2023-2024,W,100.0,0.644,15.0,0.1669634906500445,8.0,0.26666666666666666,0.4067796610169492,7.0,2.0,59.0,36.0,California,0.478,12.0,0.130605137135394,7.0,0.175,0.23529411764705882,7.0,4.0,68.0,27.0,arizona.csv
2023-12-31,2023-2024,L,82.0,0.486,8.0,0.09132420091324202,11.0,0.2972972972972973,0.1506849315068493,8.0,1.0,73.0,15.0,Stanford,0.71,12.0,0.14970059880239522,5.0,0.19230769230769232,0.1935483870967742,3.0,6.0,62.0,14.0,arizona.csv
2024-01-04,2023-2024,W,97.0,0.641,11.0,0.1273148148148148,14.0,0.4375,0.08450704225352113,10.0,4.0,71.0,10.0,Colorado,0.4,16.0,0.21220159151193632,4.0,0.12121212121212122,0.10909090909090909,4.0,2.0,55.0,10.0,arizona.csv
2024-01-06,2023-2024,W,92.0,0.683,17.0,0.20247737017627443,8.0,0.3076923076923077,0.09523809523809523,7.0,5.0,63.0,9.0,Utah,0.485,11.0,0.1325940212150434,5.0,0.13513513513513514,0.10294117647058823,10.0,4.0,68.0,9.0,arizona.csv
2024-01-13,2023-2024,L,70.0,0.396,10.0,0.10960105217010084,19.0,0.40425531914893614,0.18055555555555555,7.0,2.0,72.0,21.0,Washington State,0.5,9.0,0.12122844827586207,7.0,0.23333333333333334,0.30357142857142855,6.0,8.0,56.0,21.0,arizona.csv
2024-01-17,2023-2024,W,82.0,0.471,14.0,0.14668901927912825,18.0,0.4,0.22857142857142856,15.0,2.0,70.0,26.0,Southern California,0.492,19.0,0.22629823725583612,9.0,0.2571428571428571,0.11475409836065574,8.0,4.0,61.0,9.0,arizona.csv
2024-01-20,2023-2024,W,77.0,0.481,10.0,0.13027618551328815,11.0,0.4074074074074074,0.46296296296296297,5.0,3.0,54.0,29.0,UCLA,0.527,11.0,0.15035538545653362,9.0,0.3,0.21428571428571427,6.0,3.0,56.0,14.0,arizona.csv
2024-01-25,2023-2024,L,80.0,0.557,12.0,0.1525940996948118,10.0,0.35714285714285715,0.39622641509433965,7.0,2.0,53.0,31.0,Oregon State,0.688,13.0,0.18166573504751257,4.0,0.16666666666666666,0.3541666666666667,7.0,4.0,48.0,24.0,arizona.csv
2024-01-27,2023-2024,W,87.0,0.579,9.0,0.11556240369799692,10.0,0.3333333333333333,0.3684210526315789,7.0,3.0,57.0,27.0,Oregon,0.509,14.0,0.1695736434108527,9.0,0.2903225806451613,0.3275862068965517,6.0,6.0,58.0,24.0,arizona.csv
2024-02-01,2023-2024,W,91.0,0.562,12.0,0.13303769401330376,13.0,0.3939393939393939,0.27692307692307694,5.0,3.0,65.0,30.0,California,0.421,12.0,0.13959981386691486,6.0,0.15,0.08571428571428572,8.0,3.0,70.0,9.0,arizona.csv
2024-02-04,2023-2024,W,82.0,0.523,12.0,0.1413094677343382,14.0,0.4,0.2153846153846154,6.0,6.0,65.0,18.0,Stanford,0.485,11.0,0.1347378735913768,10.0,0.2777777777777778,0.07352941176470588,7.0,3.0,68.0,6.0,arizona.csv
