Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2023-11-06,,Morgan State,REG (Non-Conf),W,122,59,,42,76,0.553,12,27,0.444,30,49,0.612,0.632,26,32,0.813,20,27,47,26,16,7,7,16,22,56,0.393,7,22,0.318,15,34,0.441,0.455,8,15,0.533,6,17,23,10,3,6,25,25
2.0,2.0,2023-11-10,@,Duke,REG (Non-Conf),W,78,73,,30,65,0.462,6,17,0.353,24,48,0.5,0.508,12,18,0.667,12,29,41,17,8,5,17,17,28,65,0.431,8,23,0.348,20,42,0.476,0.492,9,12,0.75,5,22,27,14,9,3,11,17
3.0,3.0,2023-11-13,,Southern,REG (Non-Conf),W,97,59,,31,58,0.534,7,17,0.412,24,41,0.585,0.595,28,36,0.778,13,34,47,21,7,2,23,16,20,63,0.317,6,29,0.207,14,34,0.412,0.365,13,19,0.684,6,17,23,11,12,2,14,27
4.0,4.0,2023-11-17,,Belmont,REG (Non-Conf),W,100,68,,37,68,0.544,8,21,0.381,29,47,0.617,0.603,18,27,0.667,16,32,48,22,7,4,14,19,23,61,0.377,12,27,0.444,11,34,0.324,0.475,10,17,0.588,4,17,21,16,9,4,14,20
5.0,5.0,2023-11-19,,UT Arlington,REG (Non-Conf),W,101,56,,38,73,0.521,11,24,0.458,27,49,0.551,0.596,14,15,0.933,10,32,42,27,12,7,11,13,22,61,0.361,7,25,0.28,15,36,0.417,0.418,5,12,0.417,5,19,24,15,6,5,18,18
6.0,6.0,2023-11-23,N,Michigan State,REG (Non-Conf),W,74,68,,27,59,0.458,5,19,0.263,22,40,0.55,0.5,15,20,0.75,9,22,31,13,8,5,10,18,26,64,0.406,5,17,0.294,21,47,0.447,0.445,11,14,0.786,9,23,32,10,6,2,9,17
7.0,7.0,2023-12-02,,Colgate,REG (Non-Conf),W,82,55,,33,71,0.465,7,23,0.304,26,48,0.542,0.514,9,15,0.6,13,30,43,21,13,1,12,9,22,53,0.415,7,22,0.318,15,31,0.484,0.481,4,7,0.571,0,24,24,11,7,0,18,16
8.0,8.0,2023-12-09,,Wisconsin,REG (Non-Conf),W,98,73,,35,60,0.583,12,26,0.462,23,34,0.676,0.683,16,26,0.615,4,33,37,26,5,6,7,16,29,70,0.414,10,21,0.476,19,49,0.388,0.486,5,8,0.625,6,18,24,13,3,0,8,18
9.0,9.0,2023-12-16,N,Purdue,REG (Non-Conf),L,84,92,,32,62,0.516,6,16,0.375,26,46,0.565,0.565,14,16,0.875,5,21,26,24,8,1,13,19,35,65,0.538,10,24,0.417,25,41,0.61,0.615,12,19,0.632,11,20,31,22,10,3,12,14
10.0,10.0,2023-12-20,N,Alabama,REG (Non-Conf),W,87,74,,28,65,0.431,4,17,0.235,24,48,0.5,0.462,27,37,0.73,14,30,44,14,13,3,14,20,22,65,0.338,8,40,0.2,14,25,0.56,0.4,22,26,0.846,13,22,35,12,10,3,17,25
11.0,11.0,2023-12-23,N,Florida Atlantic,REG (Non-Conf),L,95,96,2OT,33,85,0.388,7,25,0.28,26,60,0.433,0.429,22,26,0.846,22,28,50,18,12,1,12,20,36,72,0.5,8,24,0.333,28,48,0.583,0.556,16,20,0.8,6,26,32,11,9,1,16,24
12.0,12.0,2023-12-29,@,California,REG (Conf),W,100,81,,35,59,0.593,6,13,0.462,29,46,0.63,0.644,24,36,0.667,8,33,41,17,7,2,15,19,28,68,0.412,9,31,0.29,19,37,0.514,0.478,16,27,0.593,7,22,29,14,7,4,12,22
13.0,13.0,2023-12-31,@,Stanford,REG (Conf),L,82,100,,32,73,0.438,7,26,0.269,25,47,0.532,0.486,11,15,0.733,11,21,32,12,8,1,8,14,36,62,0.581,16,25,0.64,20,37,0.541,0.71,12,14,0.857,5,26,31,25,3,6,12,17
14.0,14.0,2024-01-04,,Colorado,REG (Conf),W,97,50,,40,71,0.563,11,20,0.55,29,51,0.569,0.641,6,10,0.6,14,29,43,19,10,4,11,16,20,55,0.364,4,15,0.267,16,40,0.4,0.4,6,10,0.6,4,18,22,13,4,2,16,10
15.0,15.0,2024-01-06,,Utah,REG (Conf),W,92,73,,38,63,0.603,10,18,0.556,28,45,0.622,0.683,6,9,0.667,8,32,40,22,7,5,17,13,28,68,0.412,10,35,0.286,18,33,0.545,0.485,7,9,0.778,5,18,23,16,10,4,11,12
16.0,16.0,2024-01-13,@,Washington State,REG (Conf),L,70,73,,25,72,0.347,7,24,0.292,18,48,0.375,0.396,13,21,0.619,19,23,42,14,7,2,10,18,26,56,0.464,4,13,0.308,22,43,0.512,0.5,17,21,0.81,7,28,35,12,6,8,9,18
17.0,17.0,2024-01-17,,Southern California,REG (Conf),W,82,67,,28,70,0.4,10,26,0.385,18,44,0.409,0.471,16,26,0.615,18,26,44,18,15,2,14,12,26,61,0.426,8,24,0.333,18,37,0.486,0.492,7,9,0.778,9,27,36,19,8,4,19,24
18.0,18.0,2024-01-20,,UCLA,REG (Conf),W,77,71,,23,54,0.426,6,26,0.231,17,28,0.607,0.481,25,29,0.862,11,21,32,14,5,3,10,13,25,56,0.446,9,26,0.346,16,30,0.533,0.527,12,14,0.857,9,16,25,11,6,3,11,25
19.0,19.0,2024-01-25,@,Oregon State,REG (Conf),L,80,83,,28,53,0.528,3,14,0.214,25,39,0.641,0.557,21,31,0.677,10,20,30,16,7,2,12,20,27,48,0.563,12,20,0.6,15,28,0.536,0.688,17,24,0.708,4,18,22,15,7,4,13,22
20.0,20.0,2024-01-27,@,Oregon,REG (Conf),W,87,78,,28,57,0.491,10,19,0.526,18,38,0.474,0.579,21,27,0.778,10,22,32,15,7,3,9,21,26,58,0.448,7,18,0.389,19,40,0.475,0.509,19,24,0.792,9,20,29,15,6,6,14,18
21.0,21.0,2024-02-01,,California,REG (Conf),W,91,65,,33,65,0.508,7,24,0.292,26,41,0.634,0.562,18,30,0.6,13,34,47,21,5,3,12,12,26,70,0.371,7,28,0.25,19,42,0.452,0.421,6,9,0.667,6,20,26,10,8,3,12,20
