Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2023-11-06,,Maine,REG (Non-Conf),W,69,52,,23,43,0.535,6,17,0.353,17,26,0.654,0.605,17,21,0.81,2,32,34,14,5,3,14,16,18,54,0.333,6,24,0.25,12,30,0.4,0.389,10,19,0.526,6,19,25,11,8,1,5,18
2.0,2.0,2023-11-10,N,Liberty,REG (Non-Conf),L,59,71,,25,52,0.481,5,13,0.385,20,39,0.513,0.529,4,5,0.8,6,18,24,13,4,3,9,11,29,55,0.527,10,25,0.4,19,30,0.633,0.618,3,7,0.429,8,18,26,12,1,3,8,12
3.0,3.0,2023-11-15,,Utah Valley,REG (Non-Conf),W,62,45,,23,57,0.404,5,21,0.238,18,36,0.5,0.447,11,15,0.733,9,30,39,15,9,2,12,15,18,53,0.34,3,16,0.188,15,37,0.405,0.368,6,11,0.545,8,23,31,6,6,1,13,16
4.0,4.0,2023-11-19,N,George Mason,REG (Non-Conf),W,54,49,,17,46,0.37,4,14,0.286,13,32,0.406,0.413,16,20,0.8,5,26,31,8,6,6,9,15,16,48,0.333,5,18,0.278,11,30,0.367,0.385,12,15,0.8,4,20,24,8,6,0,12,19
5.0,5.0,2023-11-20,N,UCF,REG (Non-Conf),L,71,74,OT,28,66,0.424,4,14,0.286,24,52,0.462,0.455,11,16,0.688,6,26,32,13,6,4,10,21,25,67,0.373,5,20,0.25,20,47,0.426,0.41,19,24,0.792,16,33,49,7,8,10,14,16
6.0,6.0,2023-11-25,,Georgia State,REG (Non-Conf),W,65,57,,21,45,0.467,2,11,0.182,19,34,0.559,0.489,21,28,0.75,2,21,23,6,7,2,7,15,21,56,0.375,5,20,0.25,16,36,0.444,0.42,10,10,1.0,11,21,32,12,4,2,14,24
7.0,7.0,2023-11-29,,Davidson,REG (Non-Conf),L,81,85,,31,57,0.544,9,26,0.346,22,31,0.71,0.623,10,12,0.833,5,20,25,18,6,4,7,16,30,56,0.536,12,23,0.522,18,33,0.545,0.643,13,16,0.813,5,20,25,19,5,0,8,11
8.0,8.0,2023-12-05,,Stetson,REG (Non-Conf),W,85,62,,32,59,0.542,11,25,0.44,21,34,0.618,0.636,10,11,0.909,8,25,33,25,7,3,7,19,20,51,0.392,6,19,0.316,14,32,0.438,0.451,16,17,0.941,4,16,20,8,2,2,10,13
9.0,9.0,2023-12-09,@,Duke,REG (Non-Conf),L,56,80,,21,52,0.404,4,20,0.2,17,32,0.531,0.442,10,16,0.625,7,17,24,9,4,6,11,19,24,48,0.5,10,18,0.556,14,30,0.467,0.604,22,28,0.786,8,26,34,15,7,2,9,14
10.0,10.0,2023-12-16,@,Richmond,REG (Non-Conf),L,56,64,,19,55,0.345,10,35,0.286,9,20,0.45,0.436,8,12,0.667,8,30,38,13,3,3,12,18,24,58,0.414,3,17,0.176,21,41,0.512,0.44,13,20,0.65,7,26,33,9,10,3,5,12
11.0,11.0,2023-12-22,,Greensboro,REG (Non-Conf),W,91,44,,34,62,0.548,11,27,0.407,23,35,0.657,0.637,12,15,0.8,11,19,30,21,13,4,3,5,17,46,0.37,8,18,0.444,9,28,0.321,0.457,2,4,0.5,7,15,22,8,1,4,16,14
12.0,12.0,2023-12-29,@,Stetson,REG (Non-Conf),L,75,79,,29,61,0.475,6,20,0.3,23,41,0.561,0.525,11,14,0.786,9,21,30,13,7,1,9,11,29,57,0.509,10,27,0.37,19,30,0.633,0.596,11,11,1.0,6,23,29,13,6,2,10,13
