Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2023-11-06,@,Toledo,REG (Non-Conf),L,60,94,,25,47,0.532,6,20,0.3,19,27,0.704,0.596,4,10,0.4,3,22,25,13,6,1,23,19,31,61,0.508,12,20,0.6,19,41,0.463,0.607,20,25,0.8,9,21,30,18,12,0,9,10
2.0,2.0,2023-11-10,@,Cincinnati,REG (Non-Conf),L,61,93,,21,56,0.375,9,23,0.391,12,33,0.364,0.455,10,17,0.588,4,21,25,10,8,3,14,18,35,71,0.493,16,34,0.471,19,37,0.514,0.606,7,15,0.467,17,32,49,23,5,2,13,13
3.0,3.0,2023-11-14,@,Ole Miss,REG (Non-Conf),L,69,70,,25,52,0.481,6,15,0.4,19,37,0.514,0.538,13,18,0.722,8,23,31,15,5,1,11,14,28,62,0.452,9,18,0.5,19,44,0.432,0.524,5,6,0.833,10,17,27,22,9,4,8,16
4.0,4.0,2023-11-18,@,Ohio,REG (Non-Conf),L,52,71,,20,63,0.317,4,23,0.174,16,40,0.4,0.349,8,10,0.8,9,27,36,8,5,3,14,13,25,63,0.397,10,33,0.303,15,30,0.5,0.476,11,12,0.917,10,28,38,17,6,5,9,13
5.0,5.0,2023-11-21,,Eastern Michigan,REG (Non-Conf),L,72,76,,28,50,0.56,4,14,0.286,24,36,0.667,0.6,12,14,0.857,5,13,18,11,8,1,8,14,28,44,0.636,7,14,0.5,21,30,0.7,0.716,13,14,0.929,4,16,20,16,5,1,13,13
6.0,6.0,2023-11-25,@,SIU Edwardsville,REG (Non-Conf),L,67,81,,26,56,0.464,4,19,0.211,22,37,0.595,0.5,11,17,0.647,11,17,28,13,1,0,9,14,29,52,0.558,8,21,0.381,21,31,0.677,0.635,15,19,0.789,6,17,23,13,5,4,7,15
7.0,7.0,2023-11-29,,Oakland,REG (Conf),L,50,65,,20,55,0.364,4,17,0.235,16,38,0.421,0.4,6,9,0.667,9,21,30,13,11,6,17,15,24,57,0.421,6,15,0.4,18,42,0.429,0.474,11,15,0.733,9,25,34,13,5,1,14,14
8.0,8.0,2023-12-02,@,Cleveland State,REG (Conf),L,58,69,,22,52,0.423,8,20,0.4,14,32,0.438,0.5,6,14,0.429,9,25,34,10,2,2,13,20,20,57,0.351,5,15,0.333,15,42,0.357,0.395,24,32,0.75,13,26,39,8,7,5,7,18
9.0,9.0,2023-12-06,,Ball State,REG (Non-Conf),L,65,68,,24,66,0.364,5,21,0.238,19,45,0.422,0.402,12,16,0.75,10,17,27,7,12,2,8,23,19,44,0.432,6,20,0.3,13,24,0.542,0.5,24,29,0.828,9,30,39,8,2,6,21,14
10.0,10.0,2023-12-10,@,Northwestern,REG (Non-Conf),L,59,91,,20,57,0.351,5,22,0.227,15,35,0.429,0.395,14,20,0.7,10,20,30,9,4,0,13,19,34,61,0.557,10,24,0.417,24,37,0.649,0.639,13,20,0.65,8,26,34,29,9,6,6,18
11.0,11.0,2023-12-18,@,Loyola Marymount,REG (Non-Conf),L,56,76,,17,60,0.283,5,19,0.263,12,41,0.293,0.325,17,22,0.773,10,15,25,6,10,3,11,17,29,58,0.5,7,17,0.412,22,41,0.537,0.56,11,13,0.846,13,33,46,11,4,4,16,18
12.0,12.0,2023-12-21,@,Central Michigan,REG (Non-Conf),L,63,75,,19,60,0.317,5,30,0.167,14,30,0.467,0.358,20,26,0.769,11,22,33,8,6,1,12,16,27,58,0.466,10,20,0.5,17,38,0.447,0.552,11,15,0.733,9,28,37,20,5,1,15,19
13.0,13.0,2023-12-23,@,NC State,REG (Non-Conf),L,66,83,,26,59,0.441,4,20,0.2,22,39,0.564,0.475,10,13,0.769,9,29,38,8,6,3,16,17,32,64,0.5,9,25,0.36,23,39,0.59,0.57,10,19,0.526,8,24,32,18,11,1,7,11
14.0,14.0,2023-12-29,@,IUPUI,REG (Conf),L,55,67,,20,53,0.377,4,20,0.2,16,33,0.485,0.415,11,16,0.688,8,19,27,9,2,0,13,16,24,56,0.429,5,19,0.263,19,37,0.514,0.473,14,19,0.737,7,24,31,8,7,4,7,20
15.0,15.0,2023-12-31,@,Purdue Fort Wayne,REG (Conf),L,56,91,,20,55,0.364,3,17,0.176,17,38,0.447,0.391,13,23,0.565,11,27,38,5,5,3,21,17,34,70,0.486,8,28,0.286,26,42,0.619,0.543,15,23,0.652,11,25,36,16,16,3,7,20
16.0,16.0,2024-01-04,,Green Bay,REG (Conf),L,51,69,,18,55,0.327,6,23,0.261,12,32,0.375,0.382,9,10,0.9,5,16,21,7,7,5,7,12,27,55,0.491,10,26,0.385,17,29,0.586,0.582,5,8,0.625,11,27,38,13,3,1,14,15
17.0,17.0,2024-01-06,,Milwaukee,REG (Conf),L,61,84,,22,68,0.324,7,25,0.28,15,43,0.349,0.375,10,14,0.714,14,16,30,8,11,2,13,26,26,61,0.426,8,25,0.32,18,36,0.5,0.492,24,28,0.857,18,31,49,12,3,9,18,17
18.0,18.0,2024-01-13,,Northern Kentucky,REG (Conf),L,76,81,,22,48,0.458,7,25,0.28,15,23,0.652,0.531,25,26,0.962,4,15,19,10,6,4,11,19,31,58,0.534,3,12,0.25,28,46,0.609,0.56,16,21,0.762,11,16,27,12,5,2,11,19
19.0,19.0,2024-01-17,@,Robert Morris,REG (Conf),L,99,102,2OT,36,79,0.456,8,27,0.296,28,52,0.538,0.506,19,23,0.826,9,19,28,17,8,1,8,25,30,66,0.455,6,25,0.24,24,41,0.585,0.5,36,40,0.9,19,28,47,15,4,4,20,17
20.0,20.0,2024-01-20,,Youngstown State,REG (Conf),L,64,105,,24,60,0.4,5,20,0.25,19,40,0.475,0.442,11,14,0.786,9,10,19,10,10,3,14,15,38,60,0.633,14,26,0.538,24,34,0.706,0.75,15,15,1.0,7,24,31,17,4,4,13,15
21.0,21.0,2024-01-25,@,Milwaukee,REG (Conf),L,71,87,,27,70,0.386,10,28,0.357,17,42,0.405,0.457,7,7,1.0,11,17,28,16,12,2,11,18,33,57,0.579,5,14,0.357,28,43,0.651,0.623,16,21,0.762,10,29,39,16,8,4,16,10
22.0,22.0,2024-01-27,@,Green Bay,REG (Conf),L,64,78,,19,49,0.388,4,19,0.211,15,30,0.5,0.429,22,27,0.815,2,21,23,11,4,2,11,18,28,60,0.467,10,33,0.303,18,27,0.667,0.55,12,15,0.8,8,25,33,11,6,2,10,19
