Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2023-11-06,,Cleveland State,REG (Non-Conf),W,79,77,,26,62,0.419,9,27,0.333,17,35,0.486,0.492,18,33,0.545,15,26,41,17,5,2,11,20,28,64,0.438,9,20,0.45,19,44,0.432,0.508,12,19,0.632,14,25,39,10,7,6,12,25
2.0,2.0,2023-11-10,N,College of Charleston,REG (Non-Conf),W,90,72,,33,67,0.493,11,34,0.324,22,33,0.667,0.575,13,13,1.0,5,25,30,17,10,6,13,23,23,58,0.397,7,27,0.259,16,31,0.516,0.457,19,30,0.633,10,24,34,15,8,1,16,17
3.0,3.0,2023-11-13,,Stony Brook,REG (Non-Conf),W,85,63,,32,64,0.5,13,28,0.464,19,36,0.528,0.602,8,11,0.727,14,29,43,15,8,5,12,14,22,66,0.333,12,29,0.414,10,37,0.27,0.424,7,12,0.583,12,17,29,9,5,5,9,11
4.0,4.0,2023-11-15,,Princeton,REG (Non-Conf),L,67,70,,23,53,0.434,7,21,0.333,16,32,0.5,0.5,14,17,0.824,8,16,24,11,7,4,13,15,27,50,0.54,7,20,0.35,20,30,0.667,0.61,9,10,0.9,4,19,23,12,6,1,12,17
5.0,5.0,2023-11-17,,Rider,REG (Non-Conf),W,77,58,,26,57,0.456,12,31,0.387,14,26,0.538,0.561,13,21,0.619,7,31,38,15,6,14,11,20,21,66,0.318,4,15,0.267,17,51,0.333,0.348,12,22,0.545,12,24,36,8,6,3,10,16
6.0,6.0,2023-11-22,@,Nebraska,REG (Non-Conf),L,79,89,,28,63,0.444,8,29,0.276,20,34,0.588,0.508,15,17,0.882,13,23,36,8,1,4,6,24,26,53,0.491,9,24,0.375,17,29,0.586,0.575,28,31,0.903,7,20,27,18,1,2,2,13
7.0,7.0,2023-11-29,,UC Irvine,REG (Non-Conf),W,66,62,,24,58,0.414,9,18,0.5,15,40,0.375,0.491,9,15,0.6,10,18,28,16,10,6,11,11,22,54,0.407,7,18,0.389,15,36,0.417,0.472,11,11,1.0,7,27,34,13,5,3,19,20
8.0,8.0,2023-12-06,@,Marshall,REG (Non-Conf),W,85,72,,24,54,0.444,7,20,0.35,17,34,0.5,0.509,30,41,0.732,9,29,38,10,7,3,14,18,26,70,0.371,4,25,0.16,22,45,0.489,0.4,16,24,0.667,14,26,40,7,7,1,12,26
9.0,9.0,2023-12-08,,Saint Peter's,REG (Non-Conf),W,68,59,,20,51,0.392,6,25,0.24,14,26,0.538,0.451,22,28,0.786,8,23,31,10,9,7,9,15,21,50,0.42,8,20,0.4,13,30,0.433,0.5,9,14,0.643,5,18,23,13,5,7,13,23
10.0,10.0,2023-12-18,N,Bradley,REG (Non-Conf),W,69,67,,25,59,0.424,5,19,0.263,20,40,0.5,0.466,14,20,0.7,12,14,26,8,12,1,9,12,26,54,0.481,8,18,0.444,18,36,0.5,0.556,7,12,0.583,13,21,34,10,6,8,16,16
11.0,11.0,2023-12-23,N,Santa Clara,REG (Non-Conf),L,73,81,,21,54,0.389,12,32,0.375,9,22,0.409,0.5,19,31,0.613,10,18,28,12,7,1,12,29,26,53,0.491,8,15,0.533,18,38,0.474,0.566,21,29,0.724,7,20,27,14,4,2,12,22
12.0,12.0,2023-12-30,,Cleary,REG (Non-Conf),W,95,47,,36,69,0.522,8,22,0.364,28,47,0.596,0.58,15,18,0.833,18,28,46,21,12,2,15,13,17,51,0.333,8,25,0.32,9,26,0.346,0.412,5,9,0.556,5,16,21,14,7,5,20,12
13.0,13.0,2024-01-03,@,Massachusetts,REG (Conf),L,61,80,,21,58,0.362,6,22,0.273,15,36,0.417,0.414,13,22,0.591,12,18,30,11,7,0,14,23,27,51,0.529,2,10,0.2,25,41,0.61,0.549,24,34,0.706,7,26,33,13,6,3,12,20
14.0,14.0,2024-01-06,@,Loyola Chicago,REG (Conf),L,67,72,,26,66,0.394,6,21,0.286,20,45,0.444,0.439,9,13,0.692,10,27,37,16,9,4,17,21,27,54,0.5,4,16,0.25,23,38,0.605,0.537,14,21,0.667,5,27,32,19,6,3,21,15
15.0,15.0,2024-01-12,,Dayton,REG (Conf),L,62,72,,25,62,0.403,8,30,0.267,17,32,0.531,0.468,4,5,0.8,9,16,25,10,10,4,13,14,25,53,0.472,7,19,0.368,18,34,0.529,0.538,15,19,0.789,10,24,34,14,7,4,15,10
16.0,16.0,2024-01-16,,Richmond,REG (Conf),L,61,63,,24,57,0.421,6,19,0.316,18,38,0.474,0.474,7,11,0.636,6,21,27,14,4,2,9,13,24,50,0.48,5,15,0.333,19,35,0.543,0.53,10,14,0.714,6,24,30,14,6,6,10,13
