Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2023-11-06,,King (TN),REG (Non-Conf),W,73,56,,25,68,0.368,7,30,0.233,18,38,0.474,0.419,16,23,0.696,12,31,43,11,9,10,12,17,20,68,0.294,3,19,0.158,17,49,0.347,0.316,13,20,0.65,15,32,47,7,7,4,21,22
2.0,2.0,2023-11-09,@,Elon,REG (Non-Conf),L,76,79,,29,67,0.433,9,27,0.333,20,40,0.5,0.5,9,11,0.818,10,20,30,10,6,4,12,19,30,59,0.508,9,19,0.474,21,40,0.525,0.585,10,16,0.625,7,25,32,12,6,4,14,12
3.0,3.0,2023-11-13,@,Butler,REG (Non-Conf),L,47,81,,18,58,0.31,4,24,0.167,14,34,0.412,0.345,7,14,0.5,8,25,33,8,6,5,18,17,31,69,0.449,11,31,0.355,20,38,0.526,0.529,8,11,0.727,8,27,35,15,7,6,8,12
4.0,4.0,2023-11-17,,Davidson,REG (Non-Conf),W,70,68,,23,58,0.397,9,27,0.333,14,31,0.452,0.474,15,22,0.682,14,27,41,10,8,2,14,24,20,50,0.4,6,19,0.316,14,31,0.452,0.46,22,28,0.786,5,25,30,8,7,4,11,22
5.0,5.0,2023-11-22,@,Cleveland State,REG (Non-Conf),L,70,72,,26,56,0.464,9,23,0.391,17,33,0.515,0.545,9,12,0.75,12,20,32,15,8,4,18,19,29,66,0.439,5,14,0.357,24,52,0.462,0.477,9,20,0.45,17,20,37,11,14,4,10,14
6.0,6.0,2023-11-24,N,Alabama A&M,REG (Non-Conf),W,82,71,,25,56,0.446,13,31,0.419,12,25,0.48,0.563,19,29,0.655,9,22,31,15,7,2,11,22,22,51,0.431,6,13,0.462,16,38,0.421,0.49,21,25,0.84,7,22,29,11,5,2,14,26
7.0,7.0,2023-11-29,@,Appalachian State,REG (Non-Conf),L,61,72,,23,67,0.343,7,23,0.304,16,44,0.364,0.396,8,16,0.5,11,18,29,7,8,2,5,22,23,44,0.523,6,20,0.3,17,24,0.708,0.591,20,26,0.769,4,28,32,14,2,9,11,17
8.0,8.0,2023-12-03,@,Jacksonville State,REG (Non-Conf),W,61,59,,22,54,0.407,8,22,0.364,14,32,0.438,0.481,9,17,0.529,11,19,30,8,5,0,9,19,23,51,0.451,4,18,0.222,19,33,0.576,0.49,9,17,0.529,12,21,33,10,7,4,12,15
9.0,9.0,2023-12-10,,Tennessee Tech,REG (Non-Conf),W,73,72,,24,61,0.393,7,24,0.292,17,37,0.459,0.451,18,21,0.857,10,23,33,12,7,11,11,19,24,54,0.444,6,20,0.3,18,34,0.529,0.5,18,22,0.818,7,22,29,10,5,1,11,17
10.0,10.0,2023-12-15,,Tusculum,REG (Non-Conf),W,105,43,,33,71,0.465,11,31,0.355,22,40,0.55,0.542,28,31,0.903,18,35,53,20,14,1,11,15,14,58,0.241,4,23,0.174,10,35,0.286,0.276,11,19,0.579,7,18,25,7,6,0,21,19
11.0,11.0,2023-12-20,,Kansas City,REG (Non-Conf),W,70,57,,22,65,0.338,6,26,0.231,16,39,0.41,0.385,20,26,0.769,12,26,38,11,9,9,6,17,16,56,0.286,8,24,0.333,8,32,0.25,0.357,17,21,0.81,13,31,44,6,3,4,17,19
12.0,12.0,2023-12-22,@,Utah State,REG (Non-Conf),L,65,80,,20,60,0.333,4,25,0.16,16,35,0.457,0.367,21,35,0.6,12,28,40,9,5,1,8,27,25,54,0.463,6,18,0.333,19,36,0.528,0.519,24,36,0.667,7,32,39,16,6,2,8,24
13.0,13.0,2023-12-29,@,East Carolina,REG (Non-Conf),W,86,70,,28,59,0.475,8,24,0.333,20,35,0.571,0.542,22,23,0.957,14,23,37,10,8,3,17,25,22,63,0.349,5,30,0.167,17,33,0.515,0.389,21,32,0.656,20,13,33,8,11,2,14,17
14.0,14.0,2024-01-03,,Mercer,REG (Conf),W,80,69,,23,57,0.404,6,25,0.24,17,32,0.531,0.456,28,32,0.875,12,32,44,12,3,7,9,22,23,66,0.348,6,25,0.24,17,41,0.415,0.394,17,27,0.63,15,16,31,12,5,2,8,23
15.0,15.0,2024-01-06,@,UNC Greensboro,REG (Conf),L,54,70,,20,59,0.339,7,30,0.233,13,29,0.448,0.398,7,14,0.5,7,22,29,6,11,4,13,12,28,60,0.467,9,25,0.36,19,35,0.543,0.542,5,8,0.625,9,34,43,20,7,1,16,12
16.0,16.0,2024-01-10,,Western Carolina,REG (Conf),L,66,80,,24,64,0.375,6,27,0.222,18,37,0.486,0.422,12,17,0.706,8,20,28,10,8,4,10,16,31,61,0.508,9,19,0.474,22,42,0.524,0.582,9,14,0.643,10,33,43,12,6,2,12,14
17.0,17.0,2024-01-13,@,Furman,REG (Conf),L,73,82,,29,66,0.439,8,25,0.32,21,41,0.512,0.5,7,11,0.636,12,21,33,15,4,7,10,17,26,59,0.441,7,20,0.35,19,39,0.487,0.5,23,26,0.885,11,25,36,15,4,4,9,14
18.0,18.0,2024-01-17,@,Wofford,REG (Conf),L,73,75,,25,54,0.463,10,22,0.455,15,32,0.469,0.556,13,20,0.65,9,21,30,14,5,4,6,14,26,51,0.51,11,22,0.5,15,29,0.517,0.618,12,17,0.706,8,24,32,11,1,4,8,15
19.0,19.0,2024-01-21,,Chattanooga,REG (Conf),L,74,81,,26,62,0.419,6,28,0.214,20,34,0.588,0.468,16,23,0.696,14,24,38,9,4,3,9,13,32,61,0.525,11,26,0.423,21,35,0.6,0.615,6,9,0.667,5,24,29,14,8,2,6,17
20.0,20.0,2024-01-24,@,VMI,REG (Conf),W,74,73,,29,69,0.42,8,27,0.296,21,42,0.5,0.478,8,12,0.667,16,27,43,15,5,7,18,22,24,55,0.436,9,17,0.529,15,38,0.395,0.518,16,22,0.727,4,22,26,7,10,0,14,12
21.0,21.0,2024-01-27,,Samford,REG (Conf),L,72,75,,22,58,0.379,9,22,0.409,13,36,0.361,0.457,19,28,0.679,16,23,39,15,6,5,10,16,28,53,0.528,8,23,0.348,20,30,0.667,0.604,11,17,0.647,5,22,27,17,6,4,9,19
22.0,22.0,2024-01-31,@,Mercer,REG (Conf),W,54,49,,22,56,0.393,7,20,0.35,15,36,0.417,0.455,3,4,0.75,13,23,36,10,9,6,15,13,19,52,0.365,4,16,0.25,15,36,0.417,0.404,7,12,0.583,9,15,24,7,10,4,10,12
23.0,23.0,2024-02-03,,The Citadel,REG (Conf),W,62,60,,24,61,0.393,8,31,0.258,16,30,0.533,0.459,6,13,0.462,13,28,41,15,7,8,13,15,23,57,0.404,4,23,0.174,19,34,0.559,0.439,10,15,0.667,5,27,32,10,4,1,11,14
24.0,24.0,2024-02-07,,Wofford,REG (Conf),W,57,50,,16,53,0.302,7,29,0.241,9,24,0.375,0.368,18,21,0.857,14,18,32,8,9,10,13,17,17,48,0.354,6,22,0.273,11,26,0.423,0.417,10,16,0.625,8,18,26,11,13,4,13,19
25.0,25.0,2024-02-10,,Furman,REG (Conf),L,63,65,,23,58,0.397,4,19,0.211,19,39,0.487,0.431,13,22,0.591,13,19,32,6,7,6,8,17,24,48,0.5,5,16,0.313,19,32,0.594,0.552,12,19,0.632,6,23,29,13,5,3,11,17
26.0,26.0,2024-02-14,@,Chattanooga,REG (Conf),L,71,84,,27,59,0.458,8,20,0.4,19,39,0.487,0.525,9,15,0.6,11,12,23,10,12,4,11,14,28,53,0.528,16,35,0.457,12,18,0.667,0.679,12,16,0.75,10,22,32,21,7,2,15,11
27.0,27.0,2024-02-17,@,Western Carolina,REG (Conf),L,65,70,,25,62,0.403,4,20,0.2,21,42,0.5,0.435,11,19,0.579,12,24,36,5,4,6,6,18,22,56,0.393,7,19,0.368,15,37,0.405,0.455,19,22,0.864,9,25,34,5,4,3,6,15
28.0,28.0,2024-02-21,,VMI,REG (Conf),W,82,69,,27,61,0.443,9,29,0.31,18,32,0.563,0.516,19,26,0.731,11,25,36,16,12,5,13,12,26,58,0.448,8,23,0.348,18,35,0.514,0.517,9,12,0.75,4,24,28,9,6,4,17,16
29.0,29.0,2024-02-24,@,Samford,REG (Conf),L,71,87,,25,62,0.403,10,25,0.4,15,37,0.405,0.484,11,23,0.478,13,22,35,16,8,3,13,14,31,58,0.534,13,34,0.382,18,24,0.75,0.647,12,18,0.667,6,23,29,17,10,6,11,16
30.0,30.0,2024-02-28,@,The Citadel,REG (Conf),W,81,63,,30,59,0.508,6,19,0.316,24,40,0.6,0.559,15,19,0.789,13,20,33,14,8,4,10,24,21,46,0.457,1,10,0.1,20,36,0.556,0.467,20,31,0.645,7,16,23,9,5,3,12,16
31.0,31.0,2024-03-02,,UNC Greensboro,REG (Conf),W,66,65,,23,51,0.451,6,17,0.353,17,34,0.5,0.51,14,19,0.737,10,19,29,11,5,5,16,15,23,54,0.426,11,29,0.379,12,25,0.48,0.528,8,15,0.533,10,19,29,14,8,4,12,13
32.0,32.0,2024-03-08,N,VMI,CTOURN,W,98,66,,32,62,0.516,11,20,0.55,21,42,0.5,0.605,23,32,0.719,5,23,28,18,15,3,12,18,27,56,0.482,3,15,0.2,24,41,0.585,0.509,9,18,0.5,5,28,33,11,7,2,22,20
33.0,33.0,2024-03-09,N,UNC Greensboro,CTOURN,W,73,62,,26,60,0.433,12,24,0.5,14,36,0.389,0.533,9,18,0.5,15,23,38,10,8,2,13,12,24,60,0.4,7,27,0.259,17,33,0.515,0.458,7,9,0.778,12,18,30,11,10,5,13,16
34.0,34.0,2024-03-10,N,Chattanooga,CTOURN,W,85,84,OT,26,79,0.329,12,37,0.324,14,42,0.333,0.405,21,33,0.636,19,26,45,10,13,3,9,26,24,53,0.453,6,17,0.353,18,36,0.5,0.509,30,40,0.75,7,31,38,10,7,4,15,23
35.0,35.0,2024-03-11,N,Samford,CTOURN,L,69,76,,24,59,0.407,6,23,0.261,18,36,0.5,0.458,15,29,0.517,14,23,37,8,6,3,18,29,23,53,0.434,5,18,0.278,18,35,0.514,0.481,25,37,0.676,5,25,30,11,9,5,13,24
,,,,,,19-16,2502,2435,,866,2131,0.406,272,876,0.311,594,1255,0.473,0.47,498,730,0.682,423,812,1235,399,269,163,407,638,849,1961,0.433,245,749,0.327,604,1212,0.498,0.495,492,713,0.69,299,830,1129,402,238,115,435,594
