Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2023-11-06,,Wagner,REG (Non-Conf),W,68,64,OT,26,61,0.426,8,27,0.296,18,34,0.529,0.492,8,19,0.421,13,24,37,14,5,7,10,15,24,62,0.387,4,17,0.235,20,45,0.444,0.419,12,17,0.706,12,24,36,5,7,5,11,20
2.0,2.0,2023-11-11,,Cornell,REG (Non-Conf),L,73,78,,25,56,0.446,9,28,0.321,16,28,0.571,0.527,14,25,0.56,10,15,25,10,9,0,14,23,27,50,0.54,7,18,0.389,20,32,0.625,0.61,17,27,0.63,8,22,30,12,9,4,20,23
3.0,3.0,2023-11-17,N,Norfolk State,REG (Non-Conf),W,77,64,,20,48,0.417,7,23,0.304,13,25,0.52,0.49,30,42,0.714,8,30,38,14,7,5,17,30,17,54,0.315,4,19,0.211,13,35,0.371,0.352,26,37,0.703,12,20,32,10,11,1,16,25
4.0,4.0,2023-11-19,N,Abilene Christian,REG (Non-Conf),L,45,59,,16,54,0.296,1,12,0.083,15,42,0.357,0.306,12,21,0.571,16,25,41,3,5,3,19,16,22,55,0.4,3,12,0.25,19,43,0.442,0.427,12,17,0.706,6,23,29,9,11,1,9,19
5.0,5.0,2023-11-20,N,Kent State,REG (Non-Conf),L,72,79,,21,58,0.362,9,27,0.333,12,31,0.387,0.44,21,35,0.6,15,16,31,9,10,2,19,25,22,51,0.431,6,18,0.333,16,33,0.485,0.49,29,35,0.829,9,23,32,12,12,3,20,27
6.0,6.0,2023-11-27,,Manhattan,REG (Non-Conf),W,93,61,,34,69,0.493,9,26,0.346,25,43,0.581,0.558,16,20,0.8,10,30,40,16,16,6,10,13,25,59,0.424,6,16,0.375,19,43,0.442,0.475,5,9,0.556,5,22,27,13,9,1,20,13
7.0,7.0,2023-11-30,,FDU,REG (Non-Conf),W,80,52,,27,61,0.443,5,22,0.227,22,39,0.564,0.484,21,37,0.568,9,31,40,20,18,2,13,22,18,55,0.327,2,18,0.111,16,37,0.432,0.345,14,27,0.519,8,25,33,8,8,2,23,26
8.0,8.0,2023-12-03,,Tulane,REG (Non-Conf),L,81,89,,31,73,0.425,11,32,0.344,20,41,0.488,0.5,8,10,0.8,15,19,34,23,8,5,14,30,26,48,0.542,5,10,0.5,21,38,0.553,0.594,32,42,0.762,4,24,28,8,8,3,13,14
9.0,9.0,2023-12-06,,NJIT,REG (Non-Conf),L,77,80,,27,56,0.482,6,18,0.333,21,38,0.553,0.536,17,31,0.548,12,23,35,16,6,11,10,23,25,55,0.455,12,25,0.48,13,30,0.433,0.564,18,25,0.72,4,21,25,12,5,1,12,23
10.0,10.0,2023-12-10,N,North Texas,REG (Non-Conf),W,60,59,,23,60,0.383,8,21,0.381,15,39,0.385,0.45,6,12,0.5,11,25,36,14,6,5,12,12,23,60,0.383,5,13,0.385,18,47,0.383,0.425,8,11,0.727,11,26,37,9,8,11,13,16
11.0,11.0,2023-12-16,@,St. John's (NY),REG (Non-Conf),L,55,77,,15,59,0.254,2,18,0.111,13,41,0.317,0.271,23,26,0.885,9,28,37,8,5,5,20,18,30,69,0.435,6,18,0.333,24,51,0.471,0.478,11,19,0.579,10,29,39,20,9,7,14,22
12.0,12.0,2023-12-21,,Central Connecticut State,REG (Non-Conf),L,80,82,,28,60,0.467,11,28,0.393,17,32,0.531,0.558,13,17,0.765,11,13,24,15,11,2,15,21,27,49,0.551,4,11,0.364,23,38,0.605,0.592,24,31,0.774,7,19,26,14,7,4,15,14
13.0,13.0,2023-12-30,,Columbia,REG (Non-Conf),W,87,78,,28,66,0.424,11,33,0.333,17,33,0.515,0.508,20,26,0.769,12,29,41,13,7,9,7,17,26,63,0.413,9,22,0.409,17,41,0.415,0.484,17,23,0.739,6,29,35,18,4,2,9,19
14.0,14.0,2024-01-03,@,George Washington,REG (Conf),W,119,113,3OT,39,89,0.438,19,42,0.452,20,47,0.426,0.545,22,29,0.759,18,22,40,20,11,6,12,22,40,79,0.506,8,18,0.444,32,61,0.525,0.557,25,30,0.833,10,31,41,11,7,7,15,22
15.0,15.0,2024-01-06,,La Salle,REG (Conf),L,76,81,,27,64,0.422,9,24,0.375,18,40,0.45,0.492,13,21,0.619,13,18,31,15,12,6,12,22,25,57,0.439,6,15,0.4,19,42,0.452,0.491,25,30,0.833,12,22,34,17,6,6,14,18
16.0,16.0,2024-01-13,@,St. Bonaventure,REG (Conf),W,80,74,,28,55,0.509,9,25,0.36,19,30,0.633,0.591,15,23,0.652,6,27,33,13,3,5,8,21,24,60,0.4,6,18,0.333,18,42,0.429,0.45,20,22,0.909,6,27,33,8,4,2,9,18
17.0,17.0,2024-01-17,,Davidson,REG (Conf),L,69,79,,23,66,0.348,7,27,0.259,16,39,0.41,0.402,16,19,0.842,15,28,43,14,10,8,13,24,23,57,0.404,6,12,0.5,17,45,0.378,0.456,27,34,0.794,8,26,34,11,9,5,11,14
18.0,18.0,2024-01-20,,Loyola Chicago,REG (Conf),L,61,65,,21,58,0.362,6,20,0.3,15,38,0.395,0.414,13,18,0.722,11,19,30,10,7,5,10,18,23,48,0.479,4,10,0.4,19,38,0.5,0.521,15,20,0.75,8,22,30,10,6,1,14,21
19.0,19.0,2024-01-24,@,Rhode Island,REG (Conf),W,71,68,,27,57,0.474,8,22,0.364,19,35,0.543,0.544,9,25,0.36,3,25,28,11,9,3,6,22,23,51,0.451,4,13,0.308,19,38,0.5,0.49,18,30,0.6,6,31,37,15,4,3,14,22
20.0,20.0,2024-01-27,@,Duquesne,REG (Conf),L,59,68,,21,57,0.368,4,22,0.182,17,35,0.486,0.404,13,24,0.542,13,26,39,11,5,3,12,22,24,51,0.471,1,13,0.077,23,38,0.605,0.48,19,30,0.633,2,25,27,13,4,7,8,22
21.0,21.0,2024-01-31,,Richmond,REG (Conf),L,69,83,,23,56,0.411,9,27,0.333,14,29,0.483,0.491,14,20,0.7,9,22,31,11,5,4,12,15,31,53,0.585,8,14,0.571,23,39,0.59,0.66,13,16,0.813,0,24,24,14,6,1,10,16
22.0,22.0,2024-02-03,@,Saint Louis,REG (Conf),W,67,65,,25,66,0.379,8,29,0.276,17,37,0.459,0.439,9,11,0.818,7,18,25,14,14,8,6,15,25,53,0.472,8,17,0.471,17,36,0.472,0.547,7,13,0.538,8,28,36,12,3,5,17,14
23.0,23.0,2024-02-06,,VCU,REG (Conf),L,60,75,,23,60,0.383,10,26,0.385,13,34,0.382,0.467,4,7,0.571,9,19,28,13,10,5,15,14,26,51,0.51,9,21,0.429,17,30,0.567,0.598,14,16,0.875,3,26,29,18,6,4,13,12
