Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2023-11-06,,Stonehill,REG (Non-Conf),W,89,44,,33,65,0.508,15,36,0.417,18,29,0.621,0.623,8,14,0.571,7,39,46,17,9,5,13,10,15,70,0.214,5,33,0.152,10,37,0.27,0.25,9,12,0.75,9,25,34,10,4,1,14,12
2.0,2.0,2023-11-11,,William & Mary,REG (Non-Conf),W,95,89,,28,56,0.5,6,17,0.353,22,39,0.564,0.554,33,38,0.868,3,29,32,9,6,8,11,13,31,77,0.403,18,44,0.409,13,33,0.394,0.519,9,9,1.0,9,25,34,23,6,3,11,24
3.0,3.0,2023-11-14,,Hofstra,REG (Non-Conf),W,71,60,,27,66,0.409,8,23,0.348,19,43,0.442,0.47,9,9,1.0,5,34,39,12,11,5,13,14,25,67,0.373,7,27,0.259,18,40,0.45,0.425,3,3,1.0,3,29,32,12,6,6,15,13
4.0,4.0,2023-11-18,,New Hampshire,REG (Non-Conf),W,79,67,,25,56,0.446,9,23,0.391,16,33,0.485,0.527,20,25,0.8,7,35,42,15,5,10,16,15,26,72,0.361,4,31,0.129,22,41,0.537,0.389,11,17,0.647,9,24,33,8,9,0,7,15
5.0,5.0,2023-11-24,N,Ohio,REG (Non-Conf),W,99,94,2OT,33,70,0.471,12,29,0.414,21,41,0.512,0.557,21,27,0.778,4,32,36,14,8,1,19,19,35,79,0.443,9,33,0.273,26,46,0.565,0.5,15,25,0.6,11,29,40,8,8,7,18,19
6.0,6.0,2023-11-25,N,IllinoisâChicago,REG (Non-Conf),L,79,89,,27,66,0.409,8,26,0.308,19,40,0.475,0.47,17,23,0.739,7,25,32,11,5,1,11,18,32,63,0.508,13,32,0.406,19,31,0.613,0.611,12,21,0.571,8,26,34,14,5,7,11,19
7.0,7.0,2023-11-26,N,Delaware,REG (Non-Conf),W,81,71,,30,57,0.526,5,17,0.294,25,40,0.625,0.57,16,19,0.842,5,27,32,8,7,5,13,12,30,68,0.441,4,24,0.167,26,44,0.591,0.471,7,10,0.7,7,18,25,15,6,3,11,14
8.0,8.0,2023-12-01,@,South Carolina,REG (Non-Conf),L,67,89,,25,60,0.417,11,22,0.5,14,38,0.368,0.508,6,8,0.75,9,24,33,15,3,4,10,9,33,66,0.5,18,35,0.514,15,31,0.484,0.636,5,7,0.714,9,22,31,19,7,6,3,9
9.0,9.0,2023-12-05,,Navy,REG (Non-Conf),W,79,77,OT,27,57,0.474,7,24,0.292,20,33,0.606,0.535,18,33,0.545,9,29,38,17,6,15,17,22,24,76,0.316,7,23,0.304,17,53,0.321,0.362,22,24,0.917,14,24,38,11,9,0,10,27
