Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2023-11-10,,Yale,REG (Non-Conf),W,86,71,,32,64,0.5,7,19,0.368,25,45,0.556,0.555,15,21,0.714,12,26,38,13,9,0,9,16,24,59,0.407,9,24,0.375,15,35,0.429,0.483,14,14,1.0,6,18,24,15,8,1,11,20
2.0,2.0,2023-11-14,,Eastern Ore.,REG (Non-Conf),W,123,57,,52,82,0.634,7,22,0.318,45,60,0.75,0.677,12,21,0.571,19,39,58,23,7,7,11,15,22,76,0.289,6,30,0.2,16,46,0.348,0.329,7,13,0.538,12,16,28,5,7,2,12,19
3.0,3.0,2023-11-20,N,Purdue,REG (Non-Conf),L,63,73,,26,69,0.377,6,32,0.188,20,37,0.541,0.42,5,8,0.625,11,20,31,13,12,2,13,19,28,60,0.467,4,17,0.235,24,43,0.558,0.5,13,16,0.813,8,30,38,11,9,3,13,12
4.0,4.0,2023-11-21,N,Syracuse,REG (Non-Conf),W,76,57,,30,64,0.469,7,20,0.35,23,44,0.523,0.523,9,12,0.75,16,31,47,17,8,2,18,14,23,64,0.359,3,24,0.125,20,40,0.5,0.383,8,10,0.8,7,15,22,6,11,5,11,16
5.0,5.0,2023-11-23,N,UCLA,REG (Non-Conf),W,69,65,,23,53,0.434,6,16,0.375,17,37,0.459,0.491,17,29,0.586,11,23,34,11,3,4,10,25,19,54,0.352,4,14,0.286,15,40,0.375,0.389,23,31,0.742,13,20,33,9,5,3,9,26
6.0,6.0,2023-11-28,,Cal State Bakersfield,REG (Non-Conf),W,81,65,,30,57,0.526,5,14,0.357,25,43,0.581,0.57,16,20,0.8,8,24,32,10,4,3,9,10,25,62,0.403,6,19,0.316,19,43,0.442,0.452,9,9,1.0,5,18,23,8,4,4,10,18
7.0,7.0,2023-12-02,N,Southern California,REG (Non-Conf),W,89,76,,34,65,0.523,12,22,0.545,22,43,0.512,0.615,9,12,0.75,11,24,35,17,6,4,12,17,31,66,0.47,6,22,0.273,25,44,0.568,0.515,8,17,0.471,14,17,31,12,6,3,10,14
8.0,8.0,2023-12-05,,ArkansasâPine Bluff,REG (Non-Conf),W,111,71,,45,79,0.57,10,24,0.417,35,55,0.636,0.633,11,14,0.786,16,41,57,28,5,6,15,17,19,71,0.268,15,44,0.341,4,27,0.148,0.373,18,24,0.75,7,21,28,15,5,3,8,17
9.0,9.0,2023-12-09,@,Washington,REG (Non-Conf),L,73,78,,26,61,0.426,5,18,0.278,21,43,0.488,0.467,16,20,0.8,8,19,27,11,9,4,12,22,25,55,0.455,7,20,0.35,18,35,0.514,0.518,21,25,0.84,7,25,32,11,3,6,18,13
10.0,10.0,2023-12-11,,Mississippi Valley State,REG (Non-Conf),W,78,40,,27,57,0.474,5,24,0.208,22,33,0.667,0.518,19,28,0.679,13,27,40,21,11,6,8,14,16,55,0.291,4,15,0.267,12,40,0.3,0.327,4,10,0.4,13,20,33,8,7,1,16,19
11.0,11.0,2023-12-15,N,Connecticut,REG (Non-Conf),L,63,76,,23,59,0.39,2,12,0.167,21,47,0.447,0.407,15,21,0.714,12,16,28,5,4,3,11,12,29,52,0.558,7,17,0.412,22,35,0.629,0.625,11,15,0.733,4,21,25,16,7,5,9,16
12.0,12.0,2023-12-20,,Jackson State,REG (Non-Conf),W,100,76,,34,65,0.523,5,18,0.278,29,47,0.617,0.562,27,39,0.692,11,38,49,20,7,6,7,15,26,78,0.333,13,32,0.406,13,46,0.283,0.417,11,16,0.688,15,27,42,17,4,2,8,24
13.0,13.0,2023-12-29,,San Diego State,REG (Non-Conf),L,74,84,,25,59,0.424,5,19,0.263,20,40,0.5,0.466,19,25,0.76,10,20,30,14,7,2,13,13,32,64,0.5,8,25,0.32,24,39,0.615,0.563,12,16,0.75,6,25,31,9,5,3,10,17
14.0,14.0,2024-01-04,,Pepperdine,REG (Conf),W,86,60,,32,57,0.561,8,19,0.421,24,38,0.632,0.632,14,18,0.778,7,31,38,18,4,4,14,23,19,58,0.328,7,19,0.368,12,39,0.308,0.388,15,23,0.652,12,18,30,12,6,3,11,18
15.0,15.0,2024-01-06,,San Diego,REG (Conf),W,101,74,,39,69,0.565,10,23,0.435,29,46,0.63,0.638,13,21,0.619,8,27,35,27,14,5,9,12,29,66,0.439,9,23,0.391,20,43,0.465,0.508,7,13,0.538,9,22,31,14,7,5,17,18
16.0,16.0,2024-01-11,@,Santa Clara,REG (Conf),L,76,77,,32,67,0.478,2,20,0.1,30,47,0.638,0.493,10,14,0.714,7,23,30,8,11,2,10,15,29,65,0.446,9,28,0.321,20,37,0.541,0.515,10,14,0.714,13,28,41,21,6,2,16,14
17.0,17.0,2024-01-18,@,Pepperdine,REG (Conf),W,86,61,,36,64,0.563,8,20,0.4,28,44,0.636,0.625,6,12,0.5,7,31,38,19,4,2,7,17,22,56,0.393,6,18,0.333,16,38,0.421,0.446,11,14,0.786,4,20,24,10,6,2,8,14
18.0,18.0,2024-01-20,@,San Diego,REG (Conf),W,105,63,,39,69,0.565,10,25,0.4,29,44,0.659,0.638,17,26,0.654,13,36,49,28,7,5,8,13,24,70,0.343,6,26,0.231,18,44,0.409,0.386,9,11,0.818,7,18,25,12,5,2,8,19
19.0,19.0,2024-01-25,,San Francisco,REG (Conf),W,77,72,,24,52,0.462,7,21,0.333,17,31,0.548,0.529,22,34,0.647,6,23,29,12,9,3,7,14,25,64,0.391,11,33,0.333,14,31,0.452,0.477,11,14,0.786,13,25,38,10,4,2,13,25
20.0,20.0,2024-01-27,@,Pacific,REG (Conf),W,82,73,,28,53,0.528,8,22,0.364,20,31,0.645,0.604,18,26,0.692,8,26,34,9,7,3,12,19,25,53,0.472,6,16,0.375,19,37,0.514,0.528,17,22,0.773,4,16,20,10,7,3,9,20
21.0,21.0,2024-01-30,,Loyola Marymount,REG (Conf),W,92,58,,36,61,0.59,7,15,0.467,29,46,0.63,0.648,13,17,0.765,6,23,29,19,12,9,5,8,23,62,0.371,9,24,0.375,14,38,0.368,0.444,3,4,0.75,10,18,28,6,3,0,16,14
22.0,22.0,2024-02-03,,St. Mary's (CA),REG (Conf),L,62,64,,24,55,0.436,3,14,0.214,21,41,0.512,0.464,11,15,0.733,9,25,34,5,4,1,7,15,25,55,0.455,7,18,0.389,18,37,0.486,0.518,7,13,0.538,7,21,28,11,4,1,5,15
23.0,23.0,2024-02-07,,Portland,REG (Conf),W,96,64,,38,68,0.559,15,33,0.455,23,35,0.657,0.669,5,5,1.0,6,36,42,21,4,1,6,17,23,64,0.359,9,34,0.265,14,30,0.467,0.43,9,11,0.818,5,21,26,9,1,0,7,11
24.0,24.0,2024-02-10,@,Kentucky,REG (Non-Conf),W,89,85,,32,68,0.471,4,18,0.222,28,50,0.56,0.5,21,24,0.875,12,23,35,15,6,6,9,18,28,61,0.459,6,17,0.353,22,44,0.5,0.508,23,28,0.821,11,15,26,10,8,10,8,18
25.0,25.0,2024-02-15,@,Loyola Marymount,REG (Conf),W,91,74,,37,62,0.597,10,20,0.5,27,42,0.643,0.677,7,9,0.778,10,16,26,19,7,7,7,14,28,53,0.528,11,20,0.55,17,33,0.515,0.632,7,9,0.778,8,11,19,13,4,1,9,14
26.0,26.0,2024-02-17,,Pacific,REG (Conf),W,102,76,,37,56,0.661,8,20,0.4,29,36,0.806,0.732,20,22,0.909,7,24,31,17,7,8,11,19,25,61,0.41,5,17,0.294,20,44,0.455,0.451,21,23,0.913,8,12,20,10,7,0,11,17
27.0,27.0,2024-02-22,@,Portland,REG (Conf),W,86,65,,35,69,0.507,8,23,0.348,27,46,0.587,0.565,8,10,0.8,13,34,47,21,1,7,6,18,23,62,0.371,8,19,0.421,15,43,0.349,0.435,11,21,0.524,6,18,24,14,1,2,2,11
28.0,28.0,2024-02-24,,Santa Clara,REG (Conf),W,94,81,,34,60,0.567,8,16,0.5,26,44,0.591,0.633,18,26,0.692,8,21,29,17,7,2,8,14,31,68,0.456,11,27,0.407,20,41,0.488,0.537,8,11,0.727,12,19,31,13,5,3,11,21
29.0,29.0,2024-02-29,@,San Francisco,REG (Conf),W,86,68,,30,48,0.625,3,10,0.3,27,38,0.711,0.656,23,28,0.821,5,30,35,13,7,4,17,16,27,67,0.403,7,25,0.28,20,42,0.476,0.455,7,14,0.5,11,15,26,13,10,2,12,23
30.0,30.0,2024-03-02,@,St. Mary's (CA),REG (Conf),W,70,57,,30,58,0.517,5,9,0.556,25,49,0.51,0.56,5,6,0.833,6,17,23,19,9,5,4,12,22,59,0.373,8,18,0.444,14,41,0.341,0.441,5,9,0.556,13,18,31,14,4,1,11,9
31.0,31.0,2024-03-11,N,San Francisco,CTOURN,W,89,77,,31,61,0.508,11,20,0.55,20,41,0.488,0.598,16,23,0.696,10,25,35,23,5,1,2,12,29,63,0.46,11,31,0.355,18,32,0.563,0.548,8,11,0.727,9,23,32,21,0,4,7,17
