Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2023-11-07,,Albany (NY),REG (Non-Conf),W,92,71,,33,76,0.434,10,22,0.455,23,54,0.426,0.5,16,26,0.615,15,23,38,20,12,4,4,21,20,56,0.357,9,26,0.346,11,30,0.367,0.438,22,31,0.71,7,27,34,10,2,5,17,23
2.0,2.0,2023-11-13,,Quinnipiac,REG (Non-Conf),W,102,81,,39,70,0.557,11,28,0.393,28,42,0.667,0.636,13,20,0.65,10,22,32,23,9,2,7,20,26,60,0.433,6,20,0.3,20,40,0.5,0.483,23,30,0.767,13,20,33,16,4,2,15,18
3.0,3.0,2023-11-17,,Harvard,REG (Non-Conf),L,75,78,OT,29,78,0.372,7,28,0.25,22,50,0.44,0.417,10,25,0.4,20,25,45,14,10,4,12,19,27,61,0.443,11,24,0.458,16,37,0.432,0.533,13,18,0.722,10,30,40,17,6,7,16,21
4.0,4.0,2023-11-22,,Central Connecticut State,REG (Non-Conf),W,89,60,,35,58,0.603,8,21,0.381,27,37,0.73,0.672,11,15,0.733,8,24,32,29,9,5,10,16,18,53,0.34,7,22,0.318,11,31,0.355,0.406,17,22,0.773,9,13,22,14,4,3,14,14
5.0,5.0,2023-12-02,,South Florida,REG (Non-Conf),W,66,56,,18,54,0.333,4,25,0.16,14,29,0.483,0.37,26,41,0.634,13,31,44,13,9,4,16,25,15,55,0.273,5,22,0.227,10,33,0.303,0.318,21,27,0.778,11,22,33,12,8,2,17,30
6.0,6.0,2023-12-06,@,Towson,REG (Non-Conf),L,71,81,,25,54,0.463,7,18,0.389,18,36,0.5,0.528,14,20,0.7,8,17,25,11,5,3,10,22,26,54,0.481,6,16,0.375,20,38,0.526,0.537,23,34,0.676,10,20,30,9,7,6,9,21
7.0,7.0,2023-12-09,,UMass Lowell,REG (Non-Conf),W,91,77,,35,72,0.486,5,18,0.278,30,54,0.556,0.521,16,20,0.8,15,23,38,21,11,4,13,19,29,68,0.426,5,21,0.238,24,47,0.511,0.463,14,21,0.667,13,20,33,12,7,4,14,17
8.0,8.0,2023-12-16,N,West Virginia,REG (Non-Conf),W,87,79,,27,62,0.435,8,21,0.381,19,41,0.463,0.5,25,32,0.781,12,32,44,21,5,2,14,16,28,70,0.4,14,31,0.452,14,39,0.359,0.5,9,12,0.75,6,17,23,17,4,1,10,24
9.0,9.0,2023-12-21,N,Georgia Tech,REG (Non-Conf),L,70,73,,26,67,0.388,10,31,0.323,16,36,0.444,0.463,8,19,0.421,12,15,27,11,16,3,11,20,25,51,0.49,5,17,0.294,20,34,0.588,0.539,18,21,0.857,9,28,37,7,6,5,21,16
