Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2023-11-06,,Central Connecticut State,REG (Non-Conf),W,81,70,,32,57,0.561,5,12,0.417,27,45,0.6,0.605,12,23,0.522,9,23,32,18,9,3,13,15,28,67,0.418,5,21,0.238,23,46,0.5,0.455,9,13,0.692,12,17,29,13,5,7,11,20
2.0,2.0,2023-11-09,,Fairfield,REG (Non-Conf),W,93,80,,34,65,0.523,9,21,0.429,25,44,0.568,0.592,16,29,0.552,14,30,44,21,11,2,18,21,25,68,0.368,13,36,0.361,12,32,0.375,0.463,17,21,0.81,13,20,33,15,8,3,14,20
3.0,3.0,2023-11-14,,Wagner,REG (Non-Conf),W,69,53,,26,50,0.52,2,10,0.2,24,40,0.6,0.54,15,26,0.577,9,33,42,16,4,3,9,12,19,60,0.317,10,28,0.357,9,32,0.281,0.4,5,9,0.556,5,18,23,15,6,2,5,20
4.0,4.0,2023-11-18,N,Northwestern,REG (Non-Conf),L,61,72,,19,49,0.388,8,19,0.421,11,30,0.367,0.469,15,22,0.682,9,18,27,6,4,4,14,15,27,62,0.435,8,19,0.421,19,43,0.442,0.5,10,13,0.769,17,20,37,17,8,6,9,21
5.0,5.0,2023-11-19,N,Washington State,REG (Non-Conf),L,57,78,,22,53,0.415,3,17,0.176,19,36,0.528,0.443,10,12,0.833,4,19,23,9,1,2,11,18,33,64,0.516,3,17,0.176,30,47,0.638,0.539,9,16,0.563,11,22,33,13,9,8,5,16
6.0,6.0,2023-11-22,,Johnson/Wales-RI,REG (Non-Conf),W,97,59,,35,69,0.507,7,21,0.333,28,48,0.583,0.558,20,31,0.645,18,34,52,16,5,6,6,12,23,64,0.359,9,25,0.36,14,39,0.359,0.43,4,11,0.364,6,17,23,8,3,9,10,20
7.0,7.0,2023-11-26,,Yale,REG (Non-Conf),W,76,72,,31,61,0.508,8,20,0.4,23,41,0.561,0.574,6,12,0.5,13,20,33,15,4,3,10,9,29,59,0.492,10,26,0.385,19,33,0.576,0.576,4,6,0.667,6,19,25,13,6,6,5,15
8.0,8.0,2023-12-02,@,Providence,REG (Non-Conf),L,69,84,,28,62,0.452,6,12,0.5,22,50,0.44,0.5,7,15,0.467,7,24,31,8,5,2,11,19,32,65,0.492,8,20,0.4,24,45,0.533,0.554,12,16,0.75,10,30,40,12,9,5,9,14
9.0,9.0,2023-12-06,,Brown,REG (Non-Conf),L,64,67,,23,49,0.469,3,13,0.231,20,36,0.556,0.5,15,31,0.484,10,27,37,13,4,2,12,17,21,55,0.382,10,27,0.37,11,28,0.393,0.473,15,25,0.6,10,19,29,12,9,5,8,21
10.0,10.0,2023-12-10,@,College of Charleston,REG (Non-Conf),L,70,85,,29,61,0.475,9,23,0.391,20,38,0.526,0.549,3,4,0.75,4,22,26,11,5,3,17,14,34,67,0.507,10,23,0.435,24,44,0.545,0.582,7,13,0.538,10,26,36,16,10,3,11,10
11.0,11.0,2023-12-16,N,Delaware,REG (Non-Conf),L,56,67,,21,50,0.42,5,17,0.294,16,33,0.485,0.47,9,10,0.9,7,25,32,14,7,6,19,14,23,58,0.397,5,21,0.238,18,37,0.486,0.44,16,18,0.889,10,15,25,14,12,3,12,11
12.0,12.0,2023-12-21,,New Hampshire,REG (Non-Conf),L,71,81,,25,65,0.385,5,22,0.227,20,43,0.465,0.423,16,24,0.667,11,26,37,12,5,6,12,16,28,65,0.431,13,24,0.542,15,41,0.366,0.531,12,19,0.632,10,32,42,14,6,1,11,19
13.0,13.0,2023-12-30,,Northeastern,REG (Non-Conf),W,82,71,,31,56,0.554,7,16,0.438,24,40,0.6,0.616,13,20,0.65,9,23,32,16,10,5,15,13,28,55,0.509,3,13,0.231,25,42,0.595,0.536,12,16,0.75,5,14,19,13,9,5,15,18
