Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2023-11-06,,VMI,REG (Non-Conf),W,93,75,,28,63,0.444,13,37,0.351,15,26,0.577,0.548,24,32,0.75,10,31,41,16,11,3,7,12,29,65,0.446,8,19,0.421,21,46,0.457,0.508,9,14,0.643,9,28,37,11,4,0,14,20
2.0,2.0,2023-11-11,,Siena,REG (Non-Conf),W,90,48,,35,59,0.593,10,18,0.556,25,41,0.61,0.678,10,15,0.667,3,23,26,21,14,1,7,13,20,50,0.4,4,20,0.2,16,30,0.533,0.44,4,11,0.364,9,18,27,9,4,8,21,18
3.0,3.0,2023-11-15,@,Boston College,REG (Non-Conf),L,61,68,,24,60,0.4,5,19,0.263,19,41,0.463,0.442,8,12,0.667,6,23,29,10,6,6,5,15,22,59,0.373,7,18,0.389,15,41,0.366,0.432,17,19,0.895,12,29,41,13,3,3,11,13
4.0,4.0,2023-11-20,N,Colorado,REG (Non-Conf),L,59,64,,23,51,0.451,5,20,0.25,18,31,0.581,0.5,8,11,0.727,6,18,24,6,7,2,12,21,20,47,0.426,3,10,0.3,17,37,0.459,0.457,21,25,0.84,7,21,28,9,7,2,12,11
5.0,5.0,2023-11-21,N,UNLV,REG (Non-Conf),W,82,65,,33,55,0.6,9,14,0.643,24,41,0.585,0.682,7,10,0.7,4,25,29,20,4,8,9,10,24,62,0.387,7,25,0.28,17,37,0.459,0.444,10,12,0.833,8,18,26,9,5,2,8,9
6.0,6.0,2023-11-25,,Queens (NC),REG (Non-Conf),W,90,61,,39,74,0.527,8,25,0.32,31,49,0.633,0.581,4,4,1.0,5,38,43,14,8,4,6,11,23,72,0.319,10,40,0.25,13,32,0.406,0.389,5,10,0.5,11,28,39,10,4,3,14,11
7.0,7.0,2023-11-29,@,Wichita State,REG (Non-Conf),L,68,80,,30,66,0.455,7,23,0.304,23,43,0.535,0.508,1,3,0.333,3,22,25,12,1,2,6,14,32,62,0.516,7,21,0.333,25,41,0.61,0.573,9,17,0.529,10,29,39,16,5,4,6,11
8.0,8.0,2023-12-02,,William & Mary,REG (Non-Conf),W,88,69,,34,62,0.548,12,30,0.4,22,32,0.688,0.645,8,11,0.727,5,26,31,12,6,2,5,15,24,62,0.387,10,29,0.345,14,33,0.424,0.468,11,16,0.688,12,23,35,11,1,3,7,13
9.0,9.0,2023-12-06,@,Northern Iowa,REG (Non-Conf),L,73,78,,25,54,0.463,6,18,0.333,19,36,0.528,0.519,17,20,0.85,5,24,29,9,6,1,14,15,27,60,0.45,12,29,0.414,15,31,0.484,0.55,12,17,0.706,10,22,32,17,9,2,11,20
10.0,10.0,2023-12-09,N,Florida,REG (Non-Conf),L,76,87,,27,63,0.429,11,22,0.5,16,41,0.39,0.516,11,19,0.579,4,25,29,17,9,1,8,20,29,65,0.446,9,29,0.31,20,36,0.556,0.515,20,25,0.8,13,35,48,14,4,5,12,16
11.0,11.0,2023-12-16,,Charlotte,REG (Non-Conf),W,64,56,,24,58,0.414,3,17,0.176,21,41,0.512,0.44,13,20,0.65,7,26,33,9,10,3,5,12,19,55,0.345,10,35,0.286,9,20,0.45,0.436,8,12,0.667,8,30,38,13,3,3,12,18
