Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2023-11-06,,Lafayette,REG (Non-Conf),W,81,60,,29,63,0.46,12,34,0.353,17,29,0.586,0.556,11,21,0.524,8,22,30,21,8,0,8,18,20,54,0.37,8,28,0.286,12,26,0.462,0.444,12,19,0.632,10,22,32,11,6,4,15,19
2.0,2.0,2023-11-10,,Pennsylvania,REG (Non-Conf),W,69,61,,24,60,0.4,7,25,0.28,17,35,0.486,0.458,14,18,0.778,6,24,30,17,7,2,9,13,23,62,0.371,9,24,0.375,14,38,0.368,0.444,6,11,0.545,9,26,35,13,5,5,16,17
3.0,3.0,2023-11-14,,Stonehill,REG (Non-Conf),W,100,56,,39,66,0.591,15,36,0.417,24,30,0.8,0.705,7,9,0.778,7,36,43,26,6,9,14,17,17,62,0.274,7,31,0.226,10,31,0.323,0.331,15,20,0.75,5,15,20,8,7,2,15,13
4.0,4.0,2023-11-17,,Texas A&MâCommerce,REG (Non-Conf),L,54,57,,18,66,0.273,6,30,0.2,12,36,0.333,0.318,12,16,0.75,14,28,42,7,7,3,11,18,21,58,0.362,7,26,0.269,14,32,0.438,0.422,8,17,0.471,8,29,37,11,8,6,12,17
5.0,5.0,2023-11-20,@,Kentucky,REG (Non-Conf),L,88,96,OT,32,75,0.427,15,37,0.405,17,38,0.447,0.527,9,12,0.75,12,27,39,20,5,3,14,21,33,64,0.516,12,25,0.48,21,39,0.538,0.609,18,27,0.667,5,27,32,24,12,8,9,10
6.0,6.0,2023-11-26,,Sacred Heart,REG (Non-Conf),W,64,55,,23,52,0.442,11,33,0.333,12,19,0.632,0.548,7,13,0.538,4,28,32,17,10,4,20,16,19,55,0.345,4,20,0.2,15,35,0.429,0.382,13,22,0.591,7,23,30,8,17,3,18,11
7.0,7.0,2023-11-29,@,Villanova,REG (Non-Conf),W,78,65,,29,51,0.569,14,27,0.519,15,24,0.625,0.706,6,10,0.6,5,20,25,19,9,3,9,15,22,56,0.393,10,37,0.27,12,19,0.632,0.482,11,14,0.786,10,17,27,15,5,2,16,16
8.0,8.0,2023-12-02,N,Temple,REG (Non-Conf),W,74,65,,24,52,0.462,8,21,0.381,16,31,0.516,0.538,18,20,0.9,6,31,37,16,7,5,12,13,23,65,0.354,7,26,0.269,16,39,0.41,0.408,12,20,0.6,12,21,33,13,9,5,9,14
9.0,9.0,2023-12-06,,American,REG (Non-Conf),W,69,53,,26,55,0.473,12,31,0.387,14,24,0.583,0.582,5,6,0.833,11,24,35,14,3,2,9,13,19,51,0.373,3,24,0.125,16,27,0.593,0.402,12,17,0.706,11,11,22,8,5,2,7,10
