Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2023-11-06,,Southern Indiana,REG (Non-Conf),W,75,63,,24,66,0.364,9,21,0.429,15,45,0.333,0.432,18,28,0.643,12,31,43,13,7,1,6,14,27,65,0.415,4,18,0.222,23,47,0.489,0.446,5,8,0.625,8,33,41,14,2,8,12,22
2.0,2.0,2023-11-08,,Lincoln (MO),REG (Non-Conf),W,102,66,,34,55,0.618,9,18,0.5,25,37,0.676,0.7,25,39,0.641,4,30,34,13,15,5,12,22,21,65,0.323,8,25,0.32,13,40,0.325,0.385,16,27,0.593,14,24,38,9,5,2,19,25
3.0,3.0,2023-11-11,,Illinois State,REG (Non-Conf),W,80,71,,22,52,0.423,6,21,0.286,16,31,0.516,0.481,30,37,0.811,3,26,29,8,6,3,9,19,24,61,0.393,9,29,0.31,15,32,0.469,0.467,14,22,0.636,9,29,38,9,3,1,15,27
4.0,4.0,2023-11-16,N,Wyoming,REG (Non-Conf),W,79,69,,27,57,0.474,8,20,0.4,19,37,0.514,0.544,17,22,0.773,6,24,30,11,13,5,14,18,25,71,0.352,3,21,0.143,22,50,0.44,0.373,16,17,0.941,19,22,41,10,5,2,19,20
5.0,5.0,2023-11-17,N,Vermont,REG (Non-Conf),L,68,78,,23,55,0.418,10,18,0.556,13,37,0.351,0.509,12,19,0.632,6,22,28,14,4,0,8,15,29,52,0.558,11,24,0.458,18,28,0.643,0.663,9,14,0.643,3,26,29,14,6,4,8,14
6.0,6.0,2023-11-19,N,Wichita State,REG (Non-Conf),L,69,88,,23,65,0.354,8,29,0.276,15,36,0.417,0.415,15,18,0.833,5,24,29,14,5,5,8,16,33,68,0.485,7,22,0.318,26,46,0.565,0.537,15,19,0.789,7,36,43,11,5,2,10,15
7.0,7.0,2023-11-25,,Dartmouth,REG (Non-Conf),W,66,65,,23,60,0.383,4,15,0.267,19,45,0.422,0.417,16,21,0.762,8,23,31,9,6,1,6,17,23,53,0.434,6,26,0.231,17,27,0.63,0.491,13,17,0.765,7,28,35,11,4,3,10,19
8.0,8.0,2023-11-28,,Utah State,REG (Non-Conf),L,76,81,,27,57,0.474,10,24,0.417,17,33,0.515,0.561,12,13,0.923,4,16,20,16,7,0,10,11,35,61,0.574,6,23,0.261,29,38,0.763,0.623,5,10,0.5,12,21,33,20,5,7,12,12
9.0,9.0,2023-12-02,@,Southern Illinois,REG (Non-Conf),L,62,101,,22,51,0.431,4,18,0.222,18,33,0.545,0.471,14,24,0.583,11,15,26,9,7,3,19,15,37,56,0.661,18,29,0.621,19,27,0.704,0.821,9,14,0.643,5,22,27,25,16,6,10,20
10.0,10.0,2023-12-06,@,Drake,REG (Non-Conf),L,69,75,,23,52,0.442,5,14,0.357,18,38,0.474,0.49,18,22,0.818,8,23,31,6,8,2,14,22,22,54,0.407,8,24,0.333,14,30,0.467,0.481,23,30,0.767,8,21,29,15,7,4,10,16
11.0,11.0,2023-12-09,,Hofstra,REG (Non-Conf),W,71,68,,24,53,0.453,13,29,0.448,11,24,0.458,0.575,10,15,0.667,8,20,28,14,5,2,12,13,24,57,0.421,7,25,0.28,17,32,0.531,0.482,13,14,0.929,6,22,28,9,5,2,11,17
