Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2023-11-06,,Longwood,REG (Non-Conf),W,73,69,,27,59,0.458,11,31,0.355,16,28,0.571,0.551,8,10,0.8,7,20,27,17,3,6,8,18,24,61,0.393,3,17,0.176,21,44,0.477,0.418,18,25,0.72,18,22,40,8,4,2,12,14
2.0,2.0,2023-11-11,,Canisius,REG (Non-Conf),L,67,70,,23,57,0.404,4,20,0.2,19,37,0.514,0.439,17,26,0.654,11,21,32,7,9,5,11,13,27,54,0.5,12,24,0.5,15,30,0.5,0.611,4,7,0.571,3,23,26,16,5,3,17,19
3.0,3.0,2023-11-16,N,Oklahoma State,REG (Non-Conf),W,66,64,,21,51,0.412,6,19,0.316,15,32,0.469,0.471,18,21,0.857,11,21,32,9,8,1,11,16,23,52,0.442,7,23,0.304,16,29,0.552,0.51,11,18,0.611,11,17,28,16,4,1,14,19
4.0,4.0,2023-11-17,N,Auburn,REG (Non-Conf),L,60,77,,23,58,0.397,3,24,0.125,20,34,0.588,0.422,11,13,0.846,9,18,27,12,5,1,14,20,25,52,0.481,8,24,0.333,17,28,0.607,0.558,19,27,0.704,10,22,32,20,4,3,13,17
5.0,5.0,2023-11-22,,Bucknell,REG (Non-Conf),W,67,61,,23,56,0.411,10,28,0.357,13,28,0.464,0.5,11,13,0.846,10,19,29,19,8,5,12,14,20,46,0.435,9,24,0.375,11,22,0.5,0.533,12,15,0.8,3,21,24,13,4,2,13,16
6.0,6.0,2023-11-25,,Miami (OH),REG (Non-Conf),W,90,60,,36,65,0.554,11,25,0.44,25,40,0.625,0.638,7,8,0.875,13,27,40,20,4,6,9,14,22,56,0.393,7,27,0.259,15,29,0.517,0.455,9,10,0.9,5,14,19,13,0,1,10,11
7.0,7.0,2023-12-02,@,Buffalo,REG (Non-Conf),W,80,65,,28,58,0.483,10,24,0.417,18,34,0.529,0.569,14,19,0.737,10,24,34,20,7,7,12,16,22,58,0.379,2,17,0.118,20,41,0.488,0.397,19,27,0.704,13,21,34,11,8,5,11,17
8.0,8.0,2023-12-06,@,Niagara,REG (Non-Conf),W,94,60,,38,57,0.667,12,19,0.632,26,38,0.684,0.772,6,9,0.667,8,22,30,14,4,3,8,18,19,48,0.396,7,21,0.333,12,27,0.444,0.469,15,18,0.833,2,11,13,10,3,0,9,11
9.0,9.0,2023-12-09,,Siena,REG (Non-Conf),W,89,56,,32,58,0.552,10,24,0.417,22,34,0.647,0.638,15,20,0.75,8,25,33,13,7,4,6,15,21,55,0.382,6,21,0.286,15,34,0.441,0.436,8,15,0.533,7,21,28,10,2,4,14,16
