Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2023-11-06,,McNeese State,REG (Non-Conf),L,65,76,,22,53,0.415,11,36,0.306,11,17,0.647,0.519,10,14,0.714,9,24,33,17,3,9,14,17,27,59,0.458,8,17,0.471,19,42,0.452,0.525,14,22,0.636,8,23,31,11,9,1,5,18
2.0,2.0,2023-11-10,,Samford,REG (Non-Conf),W,75,65,,25,51,0.49,5,18,0.278,20,33,0.606,0.539,20,25,0.8,12,25,37,13,15,6,19,16,23,66,0.348,8,26,0.308,15,40,0.375,0.409,11,14,0.786,14,16,30,15,12,2,15,24
3.0,3.0,2023-11-15,,Radford,REG (Non-Conf),W,73,50,,24,50,0.48,6,20,0.3,18,30,0.6,0.54,19,26,0.731,7,25,32,13,5,3,10,17,18,54,0.333,4,18,0.222,14,36,0.389,0.37,10,17,0.588,9,20,29,5,7,2,17,19
4.0,4.0,2023-11-18,,Seattle,REG (Non-Conf),W,60,56,,19,49,0.388,5,22,0.227,14,27,0.519,0.439,17,22,0.773,9,26,35,11,7,3,12,14,18,55,0.327,6,24,0.25,12,31,0.387,0.382,14,19,0.737,9,22,31,9,8,0,9,21
5.0,5.0,2023-11-23,N,Iowa State,REG (Non-Conf),L,64,68,,20,44,0.455,10,23,0.435,10,21,0.476,0.568,14,18,0.778,3,17,20,11,3,5,16,22,24,59,0.407,2,13,0.154,22,46,0.478,0.424,18,30,0.6,13,18,31,11,7,1,7,14
6.0,6.0,2023-11-24,N,Boise State,REG (Non-Conf),L,61,65,,21,53,0.396,6,22,0.273,15,31,0.484,0.453,13,15,0.867,9,28,37,12,5,5,14,18,21,51,0.412,6,16,0.375,15,35,0.429,0.471,17,21,0.81,4,18,22,7,8,3,8,19
7.0,7.0,2023-11-26,N,Penn State,REG (Non-Conf),W,86,74,,28,52,0.538,8,15,0.533,20,37,0.541,0.615,22,28,0.786,6,25,31,11,6,6,13,24,23,52,0.442,5,17,0.294,18,35,0.514,0.49,23,35,0.657,6,21,27,8,8,4,10,19
8.0,8.0,2023-12-01,,Norfolk State,REG (Non-Conf),L,60,63,,17,47,0.362,8,28,0.286,9,19,0.474,0.447,18,22,0.818,10,23,33,12,0,6,15,14,23,54,0.426,2,16,0.125,21,38,0.553,0.444,15,17,0.882,5,19,24,9,9,2,6,19
9.0,9.0,2023-12-06,,Memphis,REG (Non-Conf),L,80,85,OT,29,69,0.42,7,29,0.241,22,40,0.55,0.471,15,21,0.714,15,16,31,13,8,2,10,21,27,57,0.474,8,21,0.381,19,36,0.528,0.544,23,29,0.793,11,24,35,10,7,2,18,21
10.0,10.0,2023-12-10,,Alcorn State,REG (Non-Conf),W,86,58,,29,60,0.483,17,39,0.436,12,21,0.571,0.625,11,13,0.846,9,25,34,22,8,7,11,16,19,55,0.345,4,14,0.286,15,41,0.366,0.382,16,19,0.842,7,20,27,9,6,0,10,14
11.0,11.0,2023-12-16,,Temple,REG (Non-Conf),W,87,78,,30,59,0.508,9,24,0.375,21,35,0.6,0.585,18,21,0.857,8,25,33,18,8,2,12,14,29,64,0.453,12,34,0.353,17,30,0.567,0.547,8,13,0.615,12,19,31,16,8,1,12,17
12.0,12.0,2023-12-22,,Maryland Eastern Shore,REG (Non-Conf),W,75,51,,27,55,0.491,7,21,0.333,20,34,0.588,0.555,14,22,0.636,9,30,39,16,9,5,8,11,19,57,0.333,5,20,0.25,14,37,0.378,0.377,8,15,0.533,8,20,28,12,7,2,9,19
13.0,13.0,2023-12-30,,Gardner-Webb,REG (Non-Conf),W,87,73,,35,69,0.507,8,24,0.333,27,45,0.6,0.565,9,10,0.9,11,25,36,20,6,7,12,15,26,67,0.388,6,23,0.261,20,44,0.455,0.433,15,21,0.714,9,17,26,14,7,0,8,12
14.0,14.0,2024-01-03,,St. Bonaventure,REG (Conf),L,78,89,,28,56,0.5,8,21,0.381,20,35,0.571,0.571,14,18,0.778,5,23,28,15,3,7,11,18,28,58,0.483,12,22,0.545,16,36,0.444,0.586,21,27,0.778,9,24,33,11,5,3,7,17
15.0,15.0,2024-01-06,,George Washington,REG (Conf),L,82,84,,27,65,0.415,11,24,0.458,16,41,0.39,0.5,17,22,0.773,12,19,31,13,5,3,8,19,27,49,0.551,9,16,0.563,18,33,0.545,0.643,21,26,0.808,2,23,25,10,5,6,10,15
16.0,16.0,2024-01-09,@,George Mason,REG (Conf),W,54,50,,18,51,0.353,7,25,0.28,11,26,0.423,0.422,11,15,0.733,9,25,34,10,10,5,11,14,20,54,0.37,0,15,0.0,20,39,0.513,0.37,10,13,0.769,9,20,29,3,9,2,11,14
17.0,17.0,2024-01-13,@,La Salle,REG (Conf),W,71,65,,23,48,0.479,6,13,0.462,17,35,0.486,0.542,19,28,0.679,8,28,36,17,5,6,15,16,22,65,0.338,6,23,0.261,16,42,0.381,0.385,15,19,0.789,11,21,32,9,9,1,9,19
18.0,18.0,2024-01-19,,Saint Louis,REG (Conf),W,85,61,,27,54,0.5,11,23,0.478,16,31,0.516,0.602,20,25,0.8,5,27,32,15,5,7,8,16,20,56,0.357,4,20,0.2,16,36,0.444,0.393,17,18,0.944,5,21,26,9,4,3,11,20
19.0,19.0,2024-01-23,,Loyola Chicago,REG (Conf),W,74,67,,23,52,0.442,9,15,0.6,14,37,0.378,0.529,19,23,0.826,6,26,32,12,7,0,12,16,25,60,0.417,4,20,0.2,21,40,0.525,0.45,13,17,0.765,9,19,28,10,7,6,9,21
20.0,20.0,2024-01-27,@,Davidson,REG (Conf),W,63,58,,18,48,0.375,10,26,0.385,8,22,0.364,0.479,17,21,0.81,4,20,24,12,9,2,6,17,19,52,0.365,4,19,0.211,15,33,0.455,0.404,16,19,0.842,12,25,37,9,3,4,10,19
21.0,21.0,2024-01-30,@,St. Bonaventure,REG (Conf),L,62,67,,21,53,0.396,11,29,0.379,10,24,0.417,0.5,9,11,0.818,3,24,27,11,3,2,11,18,21,59,0.356,5,22,0.227,16,37,0.432,0.398,20,23,0.87,14,25,39,8,6,4,9,13
22.0,22.0,2024-02-03,,Richmond,REG (Conf),W,63,52,,20,54,0.37,5,18,0.278,15,36,0.417,0.417,18,20,0.9,9,33,42,15,3,4,11,16,18,51,0.353,3,18,0.167,15,33,0.455,0.382,13,17,0.765,3,21,24,12,6,2,9,19
23.0,23.0,2024-02-06,@,Fordham,REG (Conf),W,75,60,,26,51,0.51,9,21,0.429,17,30,0.567,0.598,14,16,0.875,3,26,29,18,6,4,13,12,23,60,0.383,10,26,0.385,13,34,0.382,0.467,4,7,0.571,9,19,28,13,10,5,15,14
24.0,24.0,2024-02-09,,Dayton,REG (Conf),W,49,47,,20,53,0.377,5,21,0.238,15,32,0.469,0.425,4,8,0.5,4,30,34,13,6,4,8,12,17,47,0.362,4,17,0.235,13,30,0.433,0.404,9,18,0.5,2,27,29,9,5,1,8,11
25.0,25.0,2024-02-16,@,Saint Louis,REG (Conf),W,95,85,,28,57,0.491,12,26,0.462,16,31,0.516,0.596,27,31,0.871,12,23,35,13,5,4,14,21,27,57,0.474,8,23,0.348,19,34,0.559,0.544,23,30,0.767,7,15,22,14,10,3,10,23
