Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2023-11-06,@,Richmond,REG (Non-Conf),L,75,93,,29,65,0.446,8,19,0.421,21,46,0.457,0.508,9,14,0.643,9,28,37,11,4,0,14,20,28,63,0.444,13,37,0.351,15,26,0.577,0.548,24,32,0.75,10,31,41,16,11,3,7,12
2.0,2.0,2023-11-09,,Christendom,REG (Non-Conf),W,87,53,,35,68,0.515,10,30,0.333,25,38,0.658,0.588,7,15,0.467,11,33,44,17,2,3,11,3,21,63,0.333,11,35,0.314,10,28,0.357,0.421,0,0,,4,20,24,7,3,2,12,17
3.0,3.0,2023-11-13,@,South Carolina,REG (Non-Conf),L,64,74,,25,59,0.424,4,13,0.308,21,46,0.457,0.458,10,17,0.588,9,25,34,11,5,5,15,22,25,71,0.352,7,23,0.304,18,48,0.375,0.401,17,25,0.68,18,21,39,14,10,3,9,13
4.0,4.0,2023-11-17,N,South Dakota,REG (Non-Conf),L,81,85,,28,59,0.475,7,19,0.368,21,40,0.525,0.534,18,24,0.75,7,28,35,9,5,6,15,25,31,67,0.463,5,15,0.333,26,52,0.5,0.5,18,30,0.6,11,25,36,11,9,3,12,21
5.0,5.0,2023-11-18,N,Northern Arizona,REG (Non-Conf),L,69,78,,29,63,0.46,3,19,0.158,26,44,0.591,0.484,8,12,0.667,14,25,39,8,6,0,14,23,28,60,0.467,6,23,0.261,22,37,0.595,0.517,16,27,0.593,9,21,30,13,5,4,10,19
6.0,6.0,2023-11-22,@,Air Force,REG (Non-Conf),L,54,64,,24,57,0.421,3,16,0.188,21,41,0.512,0.447,3,8,0.375,7,26,33,7,4,3,13,17,25,56,0.446,8,29,0.276,17,27,0.63,0.518,6,14,0.429,8,24,32,16,8,4,10,9
7.0,7.0,2023-11-25,,Clarks Summit,REG (Non-Conf),W,100,63,,37,69,0.536,16,37,0.432,21,32,0.656,0.652,10,16,0.625,15,32,47,27,11,2,17,25,14,50,0.28,9,28,0.321,5,22,0.227,0.37,26,32,0.813,3,21,24,9,7,1,21,14
8.0,8.0,2023-11-29,@,Navy,REG (Non-Conf),L,47,67,,17,51,0.333,6,24,0.25,11,27,0.407,0.392,7,13,0.538,8,30,38,7,3,3,26,18,25,69,0.362,3,28,0.107,22,41,0.537,0.384,14,19,0.737,11,26,37,13,14,2,11,17
9.0,9.0,2023-12-02,,Presbyterian,REG (Non-Conf),L,71,75,,28,63,0.444,9,19,0.474,19,44,0.432,0.516,6,7,0.857,9,29,38,11,5,2,16,19,26,57,0.456,10,23,0.435,16,34,0.471,0.544,13,24,0.542,7,24,31,13,4,4,9,10
