Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2024-11-05,@,Texas Tech,REG (Non-Conf),L,61,94,,25,60,0.417,6,16,0.375,19,44,0.432,0.467,5,10,0.5,3,14,17,13,7,3,9,10,36,63,0.571,16,30,0.533,20,33,0.606,0.698,6,10,0.6,10,27,37,17,7,6,11,12
2.0,2.0,2024-11-09,@,Nebraska,REG (Non-Conf),L,58,63,,22,62,0.355,9,26,0.346,13,36,0.361,0.427,5,7,0.714,11,26,37,11,5,5,22,23,19,55,0.345,4,22,0.182,15,33,0.455,0.382,21,26,0.808,11,27,38,11,11,4,18,14
3.0,3.0,2024-11-12,@,Purdue Fort Wayne,REG (Non-Conf),L,69,91,,25,55,0.455,9,26,0.346,16,29,0.552,0.536,10,14,0.714,5,22,27,11,6,7,19,23,28,64,0.438,9,25,0.36,19,39,0.487,0.508,26,31,0.839,10,23,33,10,14,2,8,17
4.0,4.0,2024-11-16,,South Carolina State,REG (Non-Conf),W,75,62,,25,53,0.472,1,12,0.083,24,41,0.585,0.481,24,30,0.8,5,28,33,12,10,4,11,19,22,60,0.367,5,19,0.263,17,41,0.415,0.408,13,22,0.591,11,21,32,14,6,5,15,22
5.0,5.0,2024-11-19,@,Tulane,REG (Non-Conf),L,57,72,,19,62,0.306,6,25,0.24,13,37,0.351,0.355,13,19,0.684,10,24,34,10,8,1,10,15,26,63,0.413,9,28,0.321,17,35,0.486,0.484,11,18,0.611,15,30,45,16,5,7,12,16
6.0,6.0,2024-11-26,N,North Dakota,REG (Non-Conf),W,79,67,,30,66,0.455,7,18,0.389,23,48,0.479,0.508,12,16,0.75,12,22,34,6,13,3,9,18,25,67,0.373,7,31,0.226,18,36,0.5,0.425,10,16,0.625,18,24,42,9,7,3,17,18
7.0,7.0,2024-11-27,N,Gardner-Webb,REG (Non-Conf),L,64,79,,24,67,0.358,5,22,0.227,19,45,0.422,0.396,11,20,0.55,9,19,28,5,7,2,8,16,28,62,0.452,9,22,0.409,19,40,0.475,0.524,14,18,0.778,11,30,41,15,3,2,14,18
8.0,8.0,2024-12-01,@,Minnesota,REG (Non-Conf),L,62,79,,24,52,0.462,10,20,0.5,14,32,0.438,0.558,4,9,0.444,3,20,23,12,5,5,9,13,29,61,0.475,11,23,0.478,18,38,0.474,0.566,10,12,0.833,9,25,34,25,7,4,9,13
9.0,9.0,2024-12-12,@,Virginia,REG (Non-Conf),L,41,59,,17,55,0.309,5,20,0.25,12,35,0.343,0.355,2,6,0.333,6,20,26,8,9,2,8,12,22,50,0.44,7,23,0.304,15,27,0.556,0.51,8,12,0.667,10,30,40,15,4,7,11,8
10.0,10.0,2024-12-14,@,West Virginia,REG (Non-Conf),L,61,84,,22,61,0.361,4,18,0.222,18,43,0.419,0.393,13,19,0.684,10,26,36,7,6,2,13,16,27,58,0.466,10,26,0.385,17,32,0.531,0.552,20,22,0.909,6,29,35,15,6,8,8,17
11.0,11.0,2024-12-18,@,South Florida,REG (Non-Conf),W,77,69,,24,53,0.453,7,16,0.438,17,37,0.459,0.519,22,24,0.917,5,25,30,15,7,6,11,25,22,60,0.367,6,23,0.261,16,37,0.432,0.417,19,24,0.792,14,14,28,8,5,5,12,17
12.0,12.0,2024-12-21,@,Davidson,REG (Non-Conf),L,63,76,,21,52,0.404,4,18,0.222,17,34,0.5,0.442,17,27,0.63,7,20,27,6,10,3,12,17,27,51,0.529,9,19,0.474,18,32,0.563,0.618,13,19,0.684,5,23,28,14,6,1,12,18
13.0,13.0,2024-12-30,@,Mississippi State,REG (Non-Conf),L,73,87,,26,52,0.5,5,15,0.333,21,37,0.568,0.548,16,24,0.667,8,22,30,5,4,2,16,18,31,61,0.508,8,25,0.32,23,36,0.639,0.574,17,24,0.708,12,20,32,18,11,6,9,17
14.0,14.0,2025-01-04,@,Florida A&M,REG (Conf),W,62,55,,22,54,0.407,8,18,0.444,14,36,0.389,0.481,10,13,0.769,7,25,32,8,7,3,12,9,20,51,0.392,7,29,0.241,13,22,0.591,0.461,8,12,0.667,5,21,26,12,6,4,15,13
15.0,15.0,2025-01-11,@,Grambling State,REG (Conf),W,65,59,,19,50,0.38,4,13,0.308,15,37,0.405,0.42,23,30,0.767,10,27,37,8,9,3,14,21,19,56,0.339,3,18,0.167,16,38,0.421,0.366,18,27,0.667,9,23,32,4,10,4,12,20
16.0,16.0,2025-01-13,@,Southern,REG (Conf),L,53,69,,20,59,0.339,2,13,0.154,18,46,0.391,0.356,11,18,0.611,9,27,36,11,2,4,13,16,26,67,0.388,4,17,0.235,22,50,0.44,0.418,13,22,0.591,13,30,43,14,10,4,8,19
17.0,17.0,2025-01-18,,Mississippi Valley State,REG (Conf),W,83,58,,30,54,0.556,11,22,0.5,19,32,0.594,0.657,12,20,0.6,8,23,31,22,11,4,11,15,23,52,0.442,3,16,0.188,20,36,0.556,0.471,9,16,0.563,7,22,29,14,6,0,15,21
18.0,18.0,2025-01-20,,ArkansasâPine Bluff,REG (Conf),W,73,64,,23,62,0.371,6,27,0.222,17,35,0.486,0.419,21,26,0.808,9,29,38,16,10,8,10,14,24,60,0.4,2,18,0.111,22,42,0.524,0.417,14,18,0.778,8,21,29,13,8,4,13,18
19.0,19.0,2025-01-25,@,Jackson State,REG (Conf),L,81,86,,27,59,0.458,9,23,0.391,18,36,0.5,0.534,18,24,0.75,14,22,36,11,4,3,15,18,28,59,0.475,7,20,0.35,21,39,0.538,0.534,23,30,0.767,13,20,33,10,10,5,10,19
20.0,20.0,2025-01-27,@,Alcorn State,REG (Conf),L,61,70,,23,57,0.404,4,20,0.2,19,37,0.514,0.439,11,14,0.786,12,23,35,13,3,4,14,18,25,59,0.424,4,18,0.222,21,41,0.512,0.458,16,23,0.696,10,19,29,9,7,5,6,18
21.0,21.0,2025-02-01,,Alabama State,REG (Conf),W,67,64,,24,53,0.453,2,18,0.111,22,35,0.629,0.472,17,35,0.486,9,33,42,17,5,4,12,18,21,57,0.368,10,27,0.37,11,30,0.367,0.456,12,21,0.571,3,28,31,14,8,4,10,26
22.0,22.0,2025-02-03,,Alabama A&M,REG (Conf),W,89,75,,31,62,0.5,5,21,0.238,26,41,0.634,0.54,22,26,0.846,15,26,41,23,7,2,13,13,27,65,0.415,11,30,0.367,16,35,0.457,0.5,10,11,0.909,10,15,25,17,7,6,10,21
23.0,23.0,2025-02-08,@,Prairie View A&M,REG (Conf),W,85,82,,32,56,0.571,6,17,0.353,26,39,0.667,0.625,15,29,0.517,12,27,39,16,4,3,13,15,28,60,0.467,11,21,0.524,17,39,0.436,0.558,15,19,0.789,5,20,25,19,7,1,9,22
24.0,24.0,2025-02-10,@,Texas Southern,REG (Conf),W,80,77,,29,55,0.527,9,16,0.563,20,39,0.513,0.609,13,18,0.722,10,22,32,16,6,8,14,8,30,70,0.429,8,26,0.308,22,44,0.5,0.486,9,13,0.692,11,18,29,19,7,1,9,13
25.0,25.0,2025-02-15,,Alcorn State,REG (Conf),L,74,78,,22,47,0.468,11,29,0.379,11,18,0.611,0.585,19,24,0.792,5,24,29,15,5,7,16,17,28,62,0.452,4,8,0.5,24,54,0.444,0.484,18,23,0.783,6,20,26,10,11,0,6,21
26.0,26.0,2025-02-17,,Jackson State,REG (Conf),L,71,84,,28,56,0.5,4,17,0.235,24,39,0.615,0.536,11,13,0.846,6,16,22,19,6,3,14,21,30,58,0.517,5,17,0.294,25,41,0.61,0.56,19,27,0.704,10,23,33,20,6,2,11,17
27.0,27.0,2025-02-22,@,Alabama A&M,REG (Conf),W,68,64,,24,52,0.462,5,16,0.313,19,36,0.528,0.51,15,23,0.652,10,27,37,15,4,4,20,17,23,68,0.338,8,34,0.235,15,34,0.441,0.397,10,14,0.714,11,18,29,14,10,6,12,19
28.0,28.0,2025-02-24,@,Alabama State,REG (Conf),W,70,68,,24,47,0.511,5,12,0.417,19,35,0.543,0.564,17,23,0.739,7,29,36,14,2,3,19,16,25,64,0.391,5,27,0.185,20,37,0.541,0.43,13,17,0.765,5,20,25,9,13,2,5,21
29.0,29.0,2025-03-01,,Southern,REG (Conf),W,70,69,,24,55,0.436,4,16,0.25,20,39,0.513,0.473,18,25,0.72,10,22,32,19,9,3,17,17,26,56,0.464,4,13,0.308,22,43,0.512,0.5,13,16,0.813,7,21,28,13,11,4,14,20
30.0,30.0,2025-03-03,,Grambling State,REG (Conf),W,78,71,,24,47,0.511,7,14,0.5,17,33,0.515,0.585,23,32,0.719,9,24,33,19,9,2,13,14,25,58,0.431,6,20,0.3,19,38,0.5,0.483,15,25,0.6,14,16,30,9,8,3,11,22
31.0,31.0,2025-03-08,,Florida A&M,REG (Conf),W,76,75,,25,59,0.424,9,23,0.391,16,36,0.444,0.5,17,27,0.63,8,23,31,14,6,2,8,11,29,61,0.475,5,28,0.179,24,33,0.727,0.516,12,15,0.8,7,26,33,18,5,4,8,17
32.0,32.0,2025-03-13,N,Alcorn State,CTOURN,W,69,60,,25,57,0.439,10,21,0.476,15,36,0.417,0.526,9,16,0.563,5,25,30,16,6,5,9,13,25,62,0.403,2,10,0.2,23,52,0.442,0.419,8,11,0.727,9,29,38,11,6,2,11,15
33.0,33.0,2025-03-14,N,Jackson State,CTOURN,L,50,71,,20,79,0.253,3,26,0.115,17,53,0.321,0.272,7,10,0.7,16,23,39,10,8,1,6,15,22,48,0.458,8,13,0.615,14,35,0.4,0.542,19,23,0.826,5,35,40,14,3,3,13,13
,,,,,,17-16,2265,2381,,800,1870,0.428,202,634,0.319,598,1236,0.484,0.482,463,671,0.69,285,785,1070,423,220,121,420,531,846,1968,0.43,227,726,0.313,619,1242,0.498,0.488,462,637,0.725,310,768,1078,450,251,124,364,582
