Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2024-11-04,@,Southern Mississippi,REG (Non-Conf),L,68,77,,27,66,0.409,10,28,0.357,17,38,0.447,0.485,4,8,0.5,7,24,31,11,8,3,13,13,30,61,0.492,5,22,0.227,25,39,0.641,0.533,12,14,0.857,2,27,29,17,9,10,12,8
2.0,2.0,2024-11-08,,Davidson,REG (Non-Conf),L,85,91,,28,60,0.467,10,22,0.455,18,38,0.474,0.55,19,25,0.76,5,20,25,12,10,5,9,21,29,61,0.475,10,25,0.4,19,36,0.528,0.557,23,28,0.821,7,26,33,18,4,6,13,21
3.0,3.0,2024-11-11,,,REG (Non-Conf),W,107,43,,40,67,0.597,16,30,0.533,24,37,0.649,0.716,11,15,0.733,9,34,43,18,13,2,10,16,16,56,0.286,3,31,0.097,13,25,0.52,0.313,8,14,0.571,6,18,24,8,3,4,20,10
4.0,4.0,2024-11-16,@,Michigan State,REG (Non-Conf),L,72,86,,27,62,0.435,5,26,0.192,22,36,0.611,0.476,13,14,0.929,5,18,23,12,8,4,12,26,27,59,0.458,4,20,0.2,23,39,0.59,0.492,28,32,0.875,13,27,40,20,7,7,11,12
5.0,5.0,2024-11-19,,Niagara,REG (Non-Conf),W,76,68,,29,52,0.558,9,22,0.409,20,30,0.667,0.644,9,10,0.9,3,20,23,18,4,4,10,19,23,55,0.418,12,29,0.414,11,26,0.423,0.527,10,14,0.714,4,19,23,13,6,2,11,16
6.0,6.0,2024-11-23,@,Bellarmine,REG (Non-Conf),L,68,80,,23,55,0.418,10,26,0.385,13,29,0.448,0.509,12,16,0.75,5,19,24,9,6,1,10,18,26,52,0.5,8,20,0.4,18,32,0.563,0.577,20,22,0.909,5,27,32,12,6,4,9,14
7.0,7.0,2024-11-29,N,Weber State,REG (Non-Conf),L,70,73,,23,59,0.39,6,21,0.286,17,38,0.447,0.441,18,21,0.857,10,22,32,7,4,0,13,18,26,55,0.473,7,25,0.28,19,30,0.633,0.536,14,21,0.667,5,22,27,11,9,4,14,18
8.0,8.0,2024-11-30,N,New Mexico State,REG (Non-Conf),W,61,60,,15,52,0.288,5,21,0.238,10,31,0.323,0.337,26,30,0.867,8,26,34,10,9,3,8,15,22,65,0.338,8,22,0.364,14,43,0.326,0.4,8,10,0.8,12,31,43,17,2,2,13,22
9.0,9.0,2024-12-07,,Morgan State,REG (Non-Conf),W,102,81,,39,68,0.574,11,28,0.393,28,40,0.7,0.654,13,16,0.813,8,26,34,21,8,0,8,18,32,72,0.444,4,16,0.25,28,56,0.5,0.472,13,21,0.619,14,23,37,19,6,3,12,16
10.0,10.0,2024-12-14,@,Kansas City,REG (Non-Conf),L,77,85,,29,56,0.518,9,23,0.391,20,33,0.606,0.598,10,14,0.714,5,17,22,7,8,2,13,18,32,54,0.593,11,22,0.5,21,32,0.656,0.694,10,12,0.833,3,19,22,16,6,3,9,14
11.0,11.0,2024-12-21,,St. Thomas,REG (Non-Conf),L,68,93,,22,59,0.373,6,22,0.273,16,37,0.432,0.424,18,20,0.9,6,23,29,5,8,0,15,18,32,62,0.516,11,30,0.367,21,32,0.656,0.605,18,22,0.818,6,31,37,15,11,5,13,16
12.0,12.0,2024-12-23,,,REG (Non-Conf),W,87,62,,32,70,0.457,10,32,0.313,22,38,0.579,0.529,13,18,0.722,17,29,46,17,10,5,14,15,20,59,0.339,9,30,0.3,11,29,0.379,0.415,13,16,0.813,9,21,30,12,8,4,16,17
