Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2024-11-04,@,Clemson,REG (Non-Conf),L,64,91,,20,50,0.4,11,25,0.44,9,25,0.36,0.51,13,27,0.481,10,21,31,13,5,0,17,18,32,65,0.492,11,21,0.524,21,44,0.477,0.577,16,24,0.667,11,26,37,16,9,6,7,20
2.0,2.0,2024-11-07,@,North Florida,REG (Non-Conf),L,66,90,,28,61,0.459,2,19,0.105,26,42,0.619,0.475,8,20,0.4,9,25,34,14,8,1,15,15,32,63,0.508,15,29,0.517,17,34,0.5,0.627,11,18,0.611,9,27,36,12,10,4,13,20
3.0,3.0,2024-11-11,,,REG (Non-Conf),W,108,50,,38,71,0.535,10,34,0.294,28,37,0.757,0.606,22,35,0.629,16,34,50,23,7,5,8,13,20,64,0.313,6,14,0.429,14,50,0.28,0.359,4,6,0.667,5,15,20,7,4,2,17,28
4.0,4.0,2024-11-15,N,TexasâRio Grande Valley,REG (Non-Conf),L,76,86,,27,56,0.482,7,21,0.333,20,35,0.571,0.545,15,24,0.625,9,24,33,17,6,5,21,17,36,68,0.529,4,23,0.174,32,45,0.711,0.559,10,13,0.769,5,21,26,14,15,1,14,22
5.0,5.0,2024-11-16,N,VMI,REG (Non-Conf),L,69,80,,27,62,0.435,7,35,0.2,20,27,0.741,0.492,8,19,0.421,11,25,36,22,4,2,17,20,28,57,0.491,6,23,0.261,22,34,0.647,0.544,18,27,0.667,5,19,24,16,9,2,7,19
6.0,6.0,2024-11-19,@,Louisiana State,REG (Non-Conf),L,68,77,,24,66,0.364,6,21,0.286,18,45,0.4,0.409,14,21,0.667,14,23,37,6,5,4,9,18,30,59,0.508,4,15,0.267,26,44,0.591,0.542,13,23,0.565,12,26,38,8,7,7,9,18
7.0,7.0,2024-11-23,,Furman,REG (Non-Conf),L,46,67,,17,54,0.315,4,23,0.174,13,31,0.419,0.352,8,14,0.571,8,24,32,7,3,5,14,15,28,57,0.491,7,19,0.368,21,38,0.553,0.553,4,14,0.286,5,25,30,18,6,4,9,18
8.0,8.0,2024-11-27,@,Georgia Tech,REG (Non-Conf),L,67,91,,17,56,0.304,8,24,0.333,9,32,0.281,0.375,25,35,0.714,10,23,33,13,4,3,14,17,38,72,0.528,3,11,0.273,35,61,0.574,0.549,12,20,0.6,12,27,39,18,10,1,7,26
9.0,9.0,2024-11-30,@,Miami (FL),REG (Non-Conf),W,83,79,,32,63,0.508,11,24,0.458,21,39,0.538,0.595,8,11,0.727,10,21,31,15,5,0,12,14,28,59,0.475,12,33,0.364,16,26,0.615,0.576,11,14,0.786,7,20,27,16,7,4,8,13
10.0,10.0,2024-12-03,,UT Martin,REG (Non-Conf),W,83,68,,30,56,0.536,11,24,0.458,19,32,0.594,0.634,12,23,0.522,6,21,27,13,5,4,6,17,25,54,0.463,3,16,0.188,22,38,0.579,0.491,15,19,0.789,4,23,27,5,5,3,10,21
11.0,11.0,2024-12-06,@,Davidson,REG (Non-Conf),L,72,73,,27,59,0.458,9,21,0.429,18,38,0.474,0.534,9,18,0.5,9,25,34,10,3,1,11,15,27,59,0.458,6,15,0.4,21,44,0.477,0.508,13,18,0.722,5,25,30,13,4,2,5,10
12.0,12.0,2024-12-09,@,South Carolina State,REG (Non-Conf),L,63,82,,22,48,0.458,2,16,0.125,20,32,0.625,0.479,17,29,0.586,9,25,34,10,2,1,17,21,31,65,0.477,2,20,0.1,29,45,0.644,0.492,18,25,0.72,8,21,29,20,8,7,5,25
13.0,13.0,2024-12-19,@,North Alabama,REG (Non-Conf),L,69,86,,22,53,0.415,10,26,0.385,12,27,0.444,0.509,15,23,0.652,12,22,34,9,4,2,17,13,33,59,0.559,7,18,0.389,26,41,0.634,0.619,13,17,0.765,5,21,26,16,12,4,7,16
14.0,14.0,2024-12-22,@,Georgia,REG (Non-Conf),L,65,81,,23,57,0.404,8,23,0.348,15,34,0.441,0.474,11,16,0.688,7,18,25,10,5,2,14,16,32,63,0.508,9,18,0.5,23,45,0.511,0.579,8,14,0.571,10,25,35,12,8,6,10,11
15.0,15.0,2024-12-28,,,REG (Non-Conf),W,95,89,,28,74,0.378,9,35,0.257,19,39,0.487,0.439,30,45,0.667,16,30,46,10,6,4,7,12,35,72,0.486,11,22,0.5,24,50,0.48,0.563,8,11,0.727,2,32,34,19,2,2,9,27
16.0,16.0,2025-01-02,,Gardner-Webb,REG (Conf),W,72,63,,23,58,0.397,7,29,0.241,16,29,0.552,0.457,19,30,0.633,8,33,41,13,5,2,11,23,21,62,0.339,2,18,0.111,19,44,0.432,0.355,19,26,0.731,8,25,33,4,4,4,10,21
17.0,17.0,2025-01-04,@,Longwood,REG (Conf),L,78,83,,23,45,0.511,7,18,0.389,16,27,0.593,0.589,25,35,0.714,3,18,21,12,8,2,12,22,28,52,0.538,7,13,0.538,21,39,0.538,0.606,20,25,0.8,4,21,25,14,6,6,10,20
18.0,18.0,2025-01-08,,High Point,REG (Conf),L,79,93,,23,54,0.426,10,24,0.417,13,30,0.433,0.519,23,31,0.742,9,19,28,10,4,7,10,18,34,64,0.531,6,11,0.545,28,53,0.528,0.578,19,21,0.905,9,22,31,14,4,3,6,19
19.0,19.0,2025-01-15,@,Winthrop,REG (Conf),L,97,102,3OT,26,73,0.356,5,26,0.192,21,47,0.447,0.39,40,53,0.755,13,39,52,9,5,3,15,30,37,79,0.468,7,21,0.333,30,58,0.517,0.513,21,37,0.568,8,31,39,14,8,5,12,36
