Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2024-11-04,,,REG (Non-Conf),W,88,47,,36,70,0.514,5,20,0.25,31,50,0.62,0.55,11,17,0.647,11,32,43,23,14,2,8,14,16,51,0.314,11,30,0.367,5,21,0.238,0.422,4,8,0.5,3,21,24,9,4,2,22,12
2.0,2.0,2024-11-08,@,Bowling Green,REG (Non-Conf),W,91,85,,29,61,0.475,10,25,0.4,19,36,0.528,0.557,23,28,0.821,7,26,33,18,4,6,13,21,28,60,0.467,10,22,0.455,18,38,0.474,0.55,19,25,0.76,5,20,25,12,10,5,9,21
3.0,3.0,2024-11-16,,East Tennessee State,REG (Non-Conf),W,76,70,,26,47,0.553,3,11,0.273,23,36,0.639,0.585,21,32,0.656,9,20,29,6,2,2,13,15,27,56,0.482,10,23,0.435,17,33,0.515,0.571,6,14,0.429,8,15,23,10,6,1,6,29
4.0,4.0,2024-11-22,,VMI,REG (Non-Conf),W,93,66,,33,66,0.5,13,32,0.406,20,34,0.588,0.598,14,15,0.933,8,24,32,28,12,2,8,21,20,49,0.408,6,21,0.286,14,28,0.5,0.469,20,28,0.714,7,24,31,13,3,3,15,16
5.0,5.0,2024-11-27,N,Arizona,REG (Non-Conf),L,71,104,,27,71,0.38,11,34,0.324,16,37,0.432,0.458,6,8,0.75,8,20,28,16,8,1,11,17,39,69,0.565,11,22,0.5,28,47,0.596,0.645,15,20,0.75,12,34,46,15,7,6,14,14
6.0,6.0,2024-11-28,N,Providence,REG (Non-Conf),W,69,58,,23,49,0.469,6,19,0.316,17,30,0.567,0.531,17,21,0.81,3,27,30,12,2,3,6,16,18,58,0.31,8,21,0.381,10,37,0.27,0.379,14,18,0.778,12,21,33,8,4,3,5,18
7.0,7.0,2024-11-29,N,Gonzaga,REG (Non-Conf),L,65,90,,24,56,0.429,6,24,0.25,18,32,0.563,0.482,11,16,0.688,1,18,19,17,3,3,10,16,35,64,0.547,6,16,0.375,29,48,0.604,0.594,14,15,0.933,8,30,38,24,7,3,9,16
8.0,8.0,2024-12-06,,Charleston Southern,REG (Non-Conf),W,73,72,,27,59,0.458,6,15,0.4,21,44,0.477,0.508,13,18,0.722,5,25,30,13,4,2,5,10,27,59,0.458,9,21,0.429,18,38,0.474,0.534,9,18,0.5,9,25,34,10,3,1,11,15
9.0,9.0,2024-12-10,,Charlotte,REG (Non-Conf),W,75,71,,27,55,0.491,10,29,0.345,17,26,0.654,0.582,11,19,0.579,11,18,29,17,4,4,6,14,25,54,0.463,7,23,0.304,18,31,0.581,0.528,14,19,0.737,11,19,30,10,4,3,5,15
10.0,10.0,2024-12-14,,Detroit Mercy,REG (Non-Conf),W,86,51,,30,61,0.492,15,34,0.441,15,27,0.556,0.615,11,14,0.786,12,31,43,18,9,5,13,10,19,60,0.317,6,17,0.353,13,43,0.302,0.367,7,12,0.583,10,17,27,7,8,4,13,16
11.0,11.0,2024-12-18,@,Temple,REG (Non-Conf),L,61,62,,23,62,0.371,7,24,0.292,16,38,0.421,0.427,8,12,0.667,12,21,33,11,7,1,9,12,23,54,0.426,3,19,0.158,20,35,0.571,0.454,13,16,0.813,9,25,34,7,6,5,10,12
12.0,12.0,2024-12-21,,Bethune-Cookman,REG (Non-Conf),W,76,63,,27,51,0.529,9,19,0.474,18,32,0.563,0.618,13,19,0.684,5,23,28,14,6,1,12,18,21,52,0.404,4,18,0.222,17,34,0.5,0.442,17,27,0.63,7,20,27,6,10,3,12,17
13.0,13.0,2024-12-28,,Eastern Michigan,REG (Non-Conf),W,86,64,,26,49,0.531,12,24,0.5,14,25,0.56,0.653,22,31,0.71,6,28,34,16,4,1,9,17,23,57,0.404,9,27,0.333,14,30,0.467,0.482,9,12,0.75,4,18,22,12,4,1,9,24
14.0,14.0,2024-12-31,@,George Mason,REG (Conf),L,57,69,,21,50,0.42,9,22,0.409,12,28,0.429,0.51,6,11,0.545,3,18,21,12,6,1,9,14,24,43,0.558,8,20,0.4,16,23,0.696,0.651,13,21,0.619,4,27,31,14,5,5,10,13
15.0,15.0,2025-01-04,,Duquesne,REG (Conf),W,77,71,,26,51,0.51,9,22,0.409,17,29,0.586,0.598,16,21,0.762,4,23,27,17,3,3,7,14,29,63,0.46,7,21,0.333,22,42,0.524,0.516,6,10,0.6,12,22,34,15,5,2,7,21
16.0,16.0,2025-01-11,,Fordham,REG (Conf),W,74,64,,26,58,0.448,5,16,0.313,21,42,0.5,0.491,17,24,0.708,6,34,40,12,7,3,9,13,23,64,0.359,8,33,0.242,15,31,0.484,0.422,10,16,0.625,7,29,36,9,4,2,12,16
17.0,17.0,2025-01-15,@,La Salle,REG (Conf),L,76,79,,30,62,0.484,10,29,0.345,20,33,0.606,0.565,6,8,0.75,4,25,29,19,7,1,12,18,28,62,0.452,7,22,0.318,21,40,0.525,0.508,16,23,0.696,10,25,35,16,8,1,9,11
18.0,18.0,2025-01-18,@,Rhode Island,REG (Conf),L,90,92,,33,58,0.569,10,25,0.4,23,33,0.697,0.655,14,19,0.737,8,24,32,21,3,1,10,16,36,67,0.537,13,24,0.542,23,43,0.535,0.634,7,11,0.636,9,16,25,21,6,0,7,17
19.0,19.0,2025-01-21,,Saint Joseph's,REG (Conf),L,61,78,,26,64,0.406,4,20,0.2,22,44,0.5,0.438,5,6,0.833,7,23,30,11,3,0,6,14,30,59,0.508,11,27,0.407,19,32,0.594,0.602,7,13,0.538,7,29,36,17,6,6,8,12
20.0,20.0,2025-01-25,@,Richmond,REG (Conf),W,72,66,,25,56,0.446,10,27,0.37,15,29,0.517,0.536,12,18,0.667,5,23,28,15,7,1,5,11,25,53,0.472,8,26,0.308,17,27,0.63,0.547,8,10,0.8,4,26,30,14,4,2,11,16
21.0,21.0,2025-02-01,,George Mason,REG (Conf),L,60,64,,21,59,0.356,9,30,0.3,12,29,0.414,0.432,9,11,0.818,7,17,24,12,8,2,8,15,24,50,0.48,6,16,0.375,18,34,0.529,0.54,10,11,0.909,5,23,28,9,2,5,13,16
22.0,22.0,2025-02-04,@,Dayton,REG (Conf),L,63,69,,24,55,0.436,5,24,0.208,19,31,0.613,0.482,10,11,0.909,6,24,30,15,8,2,9,17,21,56,0.375,6,26,0.231,15,30,0.5,0.429,21,24,0.875,11,23,34,11,6,2,9,10
23.0,23.0,2025-02-08,,Richmond,REG (Conf),W,71,60,,24,53,0.453,8,23,0.348,16,30,0.533,0.528,15,18,0.833,9,22,31,14,3,2,4,13,24,52,0.462,8,23,0.348,16,29,0.552,0.538,4,8,0.5,5,18,23,9,3,2,5,17
24.0,24.0,2025-02-12,@,Massachusetts,REG (Conf),W,77,68,,30,62,0.484,7,20,0.35,23,42,0.548,0.54,10,11,0.909,9,26,35,17,5,4,8,13,27,69,0.391,7,22,0.318,20,47,0.426,0.442,7,10,0.7,12,18,30,16,5,5,6,12
