Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2024-11-04,@,Texas State,REG (Non-Conf),L,44,64,,17,58,0.293,5,24,0.208,12,34,0.353,0.336,5,15,0.333,10,19,29,7,7,0,13,15,20,48,0.417,7,15,0.467,13,33,0.394,0.49,17,21,0.81,8,32,40,13,8,4,12,16
2.0,2.0,2024-11-08,,,REG (Non-Conf),W,83,58,,30,55,0.545,6,18,0.333,24,37,0.649,0.6,17,28,0.607,14,30,44,21,8,7,17,15,23,64,0.359,6,28,0.214,17,36,0.472,0.406,6,8,0.75,7,16,23,10,11,1,15,21
3.0,3.0,2024-11-14,@,IU Indy,REG (Non-Conf),W,74,71,,26,60,0.433,10,24,0.417,16,36,0.444,0.517,12,17,0.706,9,26,35,10,8,5,12,21,16,60,0.267,8,33,0.242,8,27,0.296,0.333,31,35,0.886,15,20,35,10,8,4,12,17
4.0,4.0,2024-11-16,@,Cleveland State,REG (Non-Conf),L,63,71,,23,56,0.411,7,20,0.35,16,36,0.444,0.473,10,14,0.714,9,16,25,12,8,4,16,17,27,52,0.519,5,14,0.357,22,38,0.579,0.567,12,18,0.667,8,21,29,13,6,6,13,17
5.0,5.0,2024-11-21,@,Oakland,REG (Non-Conf),W,68,64,,23,60,0.383,9,24,0.375,14,36,0.389,0.458,13,16,0.813,10,21,31,17,1,0,6,22,23,47,0.489,3,18,0.167,20,29,0.69,0.521,15,22,0.682,4,28,32,12,4,3,11,18
6.0,6.0,2024-11-25,@,Houston Christian,REG (Non-Conf),W,74,73,,29,51,0.569,5,15,0.333,24,36,0.667,0.618,11,14,0.786,6,21,27,14,11,4,15,14,28,55,0.509,9,20,0.45,19,35,0.543,0.591,8,15,0.533,9,16,25,12,8,4,13,15
7.0,7.0,2024-11-26,N,Northern Arizona,REG (Non-Conf),W,72,68,,24,55,0.436,5,20,0.25,19,35,0.543,0.482,19,28,0.679,8,21,29,11,7,6,8,14,27,65,0.415,7,27,0.259,20,38,0.526,0.469,7,12,0.583,16,28,44,10,5,2,14,19
8.0,8.0,2024-11-30,,Detroit Mercy,REG (Non-Conf),L,89,98,OT,28,59,0.475,11,28,0.393,17,31,0.548,0.568,22,27,0.815,6,23,29,16,6,2,14,21,34,62,0.548,9,14,0.643,25,48,0.521,0.621,21,24,0.875,7,23,30,17,9,1,14,25
9.0,9.0,2024-12-03,@,Loyola Chicago,REG (Non-Conf),L,54,76,,19,45,0.422,7,20,0.35,12,25,0.48,0.5,9,18,0.5,3,11,14,11,13,3,12,13,29,53,0.547,9,22,0.409,20,31,0.645,0.632,9,13,0.692,12,26,38,21,5,1,17,18
10.0,10.0,2024-12-15,,Purdue Fort Wayne,REG (Non-Conf),L,76,99,,29,61,0.475,6,21,0.286,23,40,0.575,0.525,12,18,0.667,12,21,33,13,5,3,10,16,35,64,0.547,20,39,0.513,15,25,0.6,0.703,9,18,0.5,9,24,33,23,6,3,9,17
11.0,11.0,2024-12-21,,Wright State,REG (Non-Conf),W,86,82,,29,58,0.5,9,23,0.391,20,35,0.571,0.578,19,26,0.731,12,21,33,14,6,1,14,12,31,60,0.517,7,17,0.412,24,43,0.558,0.575,13,16,0.813,8,16,24,13,11,3,9,22
12.0,12.0,2024-12-28,@,Davidson,REG (Non-Conf),L,64,86,,23,57,0.404,9,27,0.333,14,30,0.467,0.482,9,12,0.75,4,18,22,12,4,1,9,24,26,49,0.531,12,24,0.5,14,25,0.56,0.653,22,31,0.71,6,28,34,16,4,1,9,17
13.0,13.0,2025-01-04,,Northern Illinois,REG (Conf),W,75,71,,27,60,0.45,5,23,0.217,22,37,0.595,0.492,16,22,0.727,9,25,34,14,5,1,10,15,21,53,0.396,10,23,0.435,11,30,0.367,0.491,19,21,0.905,3,25,28,12,4,2,13,20
