Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2024-11-04,,North Carolina Central,REG (Non-Conf),W,75,58,,21,51,0.412,2,17,0.118,19,34,0.559,0.431,31,41,0.756,16,28,44,12,6,1,16,19,16,57,0.281,5,21,0.238,11,36,0.306,0.325,21,25,0.84,9,15,24,7,8,2,10,30
2.0,2.0,2024-11-08,@,Marquette,REG (Non-Conf),L,63,82,,22,58,0.379,8,24,0.333,14,34,0.412,0.448,11,15,0.733,9,26,35,13,4,2,18,18,26,67,0.388,11,35,0.314,15,32,0.469,0.47,19,26,0.731,11,24,35,16,13,7,9,15
3.0,3.0,2024-11-11,,Stony Brook,REG (Non-Conf),W,94,56,,32,59,0.542,11,27,0.407,21,32,0.656,0.636,19,24,0.792,10,29,39,19,12,0,10,19,19,60,0.317,5,26,0.192,14,34,0.412,0.358,13,18,0.722,12,17,29,9,5,2,14,19
4.0,4.0,2024-11-13,,Central Michigan,REG (Non-Conf),L,69,70,,20,49,0.408,5,20,0.25,15,29,0.517,0.459,24,34,0.706,8,26,34,8,5,3,15,13,25,61,0.41,10,26,0.385,15,35,0.429,0.492,10,12,0.833,6,19,25,16,11,3,13,23
5.0,5.0,2024-11-16,@,East Carolina,REG (Non-Conf),L,77,78,2OT,26,60,0.433,6,22,0.273,20,38,0.526,0.483,19,25,0.76,10,28,38,13,9,3,19,26,24,71,0.338,7,31,0.226,17,40,0.425,0.387,23,32,0.719,24,24,48,9,14,2,14,21
6.0,6.0,2024-11-20,,Coppin State,REG (Non-Conf),W,93,55,,32,53,0.604,9,21,0.429,23,32,0.719,0.689,20,30,0.667,11,22,33,16,10,7,10,17,19,57,0.333,4,17,0.235,15,40,0.375,0.368,13,19,0.684,11,16,27,10,6,0,15,23
7.0,7.0,2024-11-23,,,REG (Non-Conf),W,100,55,,36,68,0.529,13,35,0.371,23,33,0.697,0.625,15,21,0.714,10,31,41,17,8,4,5,12,19,59,0.322,6,24,0.25,13,35,0.371,0.373,11,13,0.846,7,20,27,8,3,2,11,17
8.0,8.0,2024-11-29,@,James Madison,REG (Non-Conf),W,66,61,,23,47,0.489,4,13,0.308,19,34,0.559,0.532,16,24,0.667,3,22,25,11,6,2,11,14,23,64,0.359,10,40,0.25,13,24,0.542,0.438,5,7,0.714,15,21,36,12,3,0,9,18
9.0,9.0,2024-12-03,,UNC Asheville,REG (Non-Conf),W,74,52,,27,43,0.628,6,14,0.429,21,29,0.724,0.698,14,23,0.609,6,27,33,16,9,1,17,11,20,52,0.385,4,17,0.235,16,35,0.457,0.423,8,13,0.615,7,13,20,10,11,1,14,19
