Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2024-11-04,,American,REG (Non-Conf),W,65,52,,23,55,0.418,5,16,0.313,18,39,0.462,0.464,14,18,0.778,9,27,36,7,5,3,5,14,20,55,0.364,9,31,0.29,11,24,0.458,0.445,3,8,0.375,8,20,28,13,3,3,9,16
2.0,2.0,2024-11-09,,Lafayette,REG (Non-Conf),W,81,60,,27,61,0.443,7,20,0.35,20,41,0.488,0.5,20,26,0.769,10,36,46,17,8,2,11,16,22,61,0.361,9,30,0.3,13,31,0.419,0.434,7,15,0.467,5,21,26,14,7,1,9,20
3.0,3.0,2024-11-12,,Cornell,REG (Non-Conf),W,93,77,,31,61,0.508,7,18,0.389,24,43,0.558,0.566,24,33,0.727,10,24,34,9,8,2,11,19,29,62,0.468,5,27,0.185,24,35,0.686,0.508,14,21,0.667,11,18,29,12,7,3,14,26
4.0,4.0,2024-11-16,@,Drexel,REG (Non-Conf),W,71,68,,26,62,0.419,8,24,0.333,18,38,0.474,0.484,11,12,0.917,6,24,30,16,7,5,10,12,29,64,0.453,6,19,0.316,23,45,0.511,0.5,4,11,0.364,8,26,34,14,2,6,8,13
5.0,5.0,2024-11-21,N,UC San Diego,REG (Non-Conf),L,67,72,,21,55,0.382,7,24,0.292,14,31,0.452,0.445,18,31,0.581,11,29,40,6,2,1,14,19,22,62,0.355,11,32,0.344,11,30,0.367,0.444,17,28,0.607,12,25,37,13,10,3,8,22
6.0,6.0,2024-11-22,N,IllinoisâChicago,REG (Non-Conf),L,83,96,,33,66,0.5,5,18,0.278,28,48,0.583,0.538,12,18,0.667,4,18,22,12,6,4,8,24,28,53,0.528,10,26,0.385,18,27,0.667,0.623,30,34,0.882,7,26,33,15,6,2,13,17
7.0,7.0,2024-11-23,N,Stetson,REG (Non-Conf),W,92,77,,33,69,0.478,10,21,0.476,23,48,0.479,0.551,16,21,0.762,13,26,39,15,6,3,9,16,27,64,0.422,7,19,0.368,20,45,0.444,0.477,16,18,0.889,10,22,32,11,6,3,10,17
8.0,8.0,2024-11-30,,Temple,REG (Non-Conf),W,83,75,,32,81,0.395,7,25,0.28,25,56,0.446,0.438,12,16,0.75,13,26,39,16,12,8,6,16,30,67,0.448,1,16,0.063,29,51,0.569,0.455,14,16,0.875,8,32,40,13,4,4,15,15
9.0,9.0,2024-12-03,@,Northeastern,REG (Non-Conf),L,68,82,,25,67,0.373,8,23,0.348,17,44,0.386,0.433,10,13,0.769,11,20,31,9,12,4,17,15,33,63,0.524,8,19,0.421,25,44,0.568,0.587,8,11,0.727,8,28,36,18,11,8,17,14
10.0,10.0,2024-12-07,N,Saint Joseph's,REG (Non-Conf),L,68,82,,22,60,0.367,6,24,0.25,16,36,0.444,0.417,18,21,0.857,11,22,33,9,6,3,11,14,32,60,0.533,6,19,0.316,26,41,0.634,0.583,12,16,0.75,4,24,28,22,8,2,9,16
11.0,11.0,2024-12-14,@,North Carolina,REG (Non-Conf),L,67,93,,26,73,0.356,10,29,0.345,16,44,0.364,0.425,5,11,0.455,11,20,31,15,7,0,12,16,36,67,0.537,10,31,0.323,26,36,0.722,0.612,11,23,0.478,12,33,45,22,8,6,10,16
12.0,12.0,2024-12-18,,FDU,REG (Non-Conf),W,77,72,,26,61,0.426,3,18,0.167,23,43,0.535,0.451,22,30,0.733,15,22,37,10,9,5,11,13,28,58,0.483,8,22,0.364,20,36,0.556,0.552,8,12,0.667,7,21,28,18,7,2,13,20
13.0,13.0,2024-12-21,,,REG (Non-Conf),W,108,48,,43,71,0.606,15,30,0.5,28,41,0.683,0.711,7,8,0.875,12,36,48,26,10,2,5,8,18,64,0.281,5,26,0.192,13,38,0.342,0.32,7,10,0.7,10,13,23,11,4,4,12,11
14.0,14.0,2024-12-31,@,Dayton,REG (Conf),L,70,84,,25,61,0.41,7,20,0.35,18,41,0.439,0.467,13,19,0.684,7,26,33,12,7,3,16,20,31,65,0.477,7,25,0.28,24,40,0.6,0.531,15,21,0.714,7,29,36,20,11,3,11,17
15.0,15.0,2025-01-08,,Loyola Chicago,REG (Conf),L,68,79,,27,66,0.409,8,26,0.308,19,40,0.475,0.47,6,8,0.75,10,21,31,10,5,8,10,15,26,54,0.481,9,21,0.429,17,33,0.515,0.565,18,23,0.783,6,26,32,10,5,1,10,12
16.0,16.0,2025-01-11,@,St. Bonaventure,REG (Conf),W,83,82,OT,29,67,0.433,13,34,0.382,16,33,0.485,0.53,12,16,0.75,12,20,32,13,9,2,6,21,25,53,0.472,11,21,0.524,14,32,0.438,0.575,21,27,0.778,6,25,31,11,5,4,12,12
17.0,17.0,2025-01-15,,Davidson,REG (Conf),W,79,76,,28,62,0.452,7,22,0.318,21,40,0.525,0.508,16,23,0.696,10,25,35,16,8,1,9,11,30,62,0.484,10,29,0.345,20,33,0.606,0.565,6,8,0.75,4,25,29,19,7,1,12,18
18.0,18.0,2025-01-19,@,Massachusetts,REG (Conf),L,60,82,,24,68,0.353,6,19,0.316,18,49,0.367,0.397,6,15,0.4,7,27,34,12,7,4,12,13,33,74,0.446,6,20,0.3,27,54,0.5,0.486,10,15,0.667,11,38,49,14,7,7,12,10
19.0,19.0,2025-01-22,@,Saint Louis,REG (Conf),L,52,64,,22,65,0.338,2,17,0.118,20,48,0.417,0.354,6,8,0.75,10,23,33,9,11,1,13,15,25,59,0.424,7,33,0.212,18,26,0.692,0.483,7,8,0.875,11,26,37,16,6,2,18,10
20.0,20.0,2025-01-25,,Rhode Island,REG (Conf),W,70,64,,21,54,0.389,5,14,0.357,16,40,0.4,0.435,23,32,0.719,8,25,33,11,6,9,12,22,20,58,0.345,7,28,0.25,13,30,0.433,0.405,17,25,0.68,9,26,35,9,3,2,14,23
21.0,21.0,2025-01-29,,Fordham,REG (Conf),L,72,88,,25,63,0.397,3,12,0.25,22,51,0.431,0.421,19,30,0.633,11,19,30,9,9,4,7,17,32,61,0.525,12,26,0.462,20,35,0.571,0.623,12,17,0.706,11,29,40,22,4,4,10,22
