Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2024-11-04,,Chicago State,REG (Non-Conf),W,79,72,,26,63,0.413,6,25,0.24,20,38,0.526,0.46,21,29,0.724,8,30,38,14,6,5,8,19,26,62,0.419,8,26,0.308,18,36,0.5,0.484,12,20,0.6,4,27,31,12,8,6,12,23
2.0,2.0,2024-11-07,,Detroit Mercy,REG (Non-Conf),W,87,65,,29,59,0.492,8,30,0.267,21,29,0.724,0.559,21,27,0.778,10,20,30,21,11,8,14,22,20,59,0.339,6,24,0.25,14,35,0.4,0.39,19,29,0.655,12,18,30,10,7,2,16,22
3.0,3.0,2024-11-10,,,REG (Non-Conf),W,105,53,,35,57,0.614,14,24,0.583,21,33,0.636,0.737,21,32,0.656,11,24,35,26,12,2,17,22,18,51,0.353,2,17,0.118,16,34,0.471,0.373,15,22,0.682,8,12,20,9,9,0,20,21
4.0,4.0,2024-11-15,@,Princeton,REG (Non-Conf),W,73,68,,27,64,0.422,8,28,0.286,19,36,0.528,0.484,11,19,0.579,11,27,38,16,5,9,10,15,24,59,0.407,10,22,0.455,14,37,0.378,0.492,10,13,0.769,4,28,32,13,7,2,9,15
5.0,5.0,2024-11-19,,Southern Utah,REG (Non-Conf),W,76,72,,26,60,0.433,8,18,0.444,18,42,0.429,0.5,16,22,0.727,12,16,28,19,4,5,7,22,23,55,0.418,4,14,0.286,19,41,0.463,0.455,22,27,0.815,9,20,29,8,2,4,10,18
6.0,6.0,2024-11-23,,Tulsa,REG (Non-Conf),W,89,53,,33,61,0.541,10,22,0.455,23,39,0.59,0.623,13,25,0.52,10,25,35,27,12,5,10,21,17,60,0.283,2,22,0.091,15,38,0.395,0.3,17,25,0.68,12,20,32,7,6,3,18,20
7.0,7.0,2024-12-03,,Eastern Michigan,REG (Non-Conf),W,76,54,,29,53,0.547,9,22,0.409,20,31,0.645,0.632,9,13,0.692,12,26,38,21,5,1,17,18,19,45,0.422,7,20,0.35,12,25,0.48,0.5,9,18,0.5,3,11,14,11,13,3,12,13
8.0,8.0,2024-12-07,,South Florida,REG (Non-Conf),W,74,72,,26,61,0.426,6,21,0.286,20,40,0.5,0.475,16,23,0.696,8,20,28,16,8,3,6,13,26,53,0.491,8,21,0.381,18,32,0.563,0.566,12,16,0.75,7,26,33,17,4,3,14,17
9.0,9.0,2024-12-15,N,San Francisco,REG (Non-Conf),L,66,76,,22,59,0.373,7,24,0.292,15,35,0.429,0.432,15,32,0.469,6,26,32,8,4,6,11,25,25,53,0.472,9,21,0.429,16,32,0.5,0.557,17,23,0.739,5,32,37,11,5,3,14,26
10.0,10.0,2024-12-18,,Canisius,REG (Non-Conf),W,72,60,,29,61,0.475,11,28,0.393,18,33,0.545,0.566,3,5,0.6,7,27,34,20,3,4,10,8,24,53,0.453,8,18,0.444,16,35,0.457,0.528,4,6,0.667,1,21,22,14,6,6,10,11
11.0,11.0,2024-12-22,N,Oakland,REG (Non-Conf),L,71,72,,27,55,0.491,7,22,0.318,20,33,0.606,0.555,10,15,0.667,9,19,28,13,6,3,10,16,27,63,0.429,9,27,0.333,18,36,0.5,0.5,9,10,0.9,14,18,32,7,7,1,10,14
12.0,12.0,2024-12-23,N,College of Charleston,REG (Non-Conf),L,68,77,,24,58,0.414,6,24,0.25,18,34,0.529,0.466,14,20,0.7,10,26,36,9,9,3,18,15,27,58,0.466,11,26,0.423,16,32,0.5,0.56,12,16,0.75,2,24,26,15,14,0,13,19
13.0,13.0,2024-12-25,N,Murray State,REG (Non-Conf),L,68,71,,25,40,0.625,4,12,0.333,21,28,0.75,0.675,14,21,0.667,1,19,20,7,6,4,16,26,21,43,0.488,7,17,0.412,14,26,0.538,0.57,22,33,0.667,3,13,16,10,9,1,11,18
14.0,14.0,2025-01-04,,VCU,REG (Conf),L,65,84,,21,55,0.382,8,24,0.333,13,31,0.419,0.455,15,23,0.652,9,15,24,17,3,2,12,22,30,61,0.492,9,24,0.375,21,37,0.568,0.566,15,20,0.75,16,19,35,15,8,4,10,19
15.0,15.0,2025-01-08,@,La Salle,REG (Conf),W,79,68,,26,54,0.481,9,21,0.429,17,33,0.515,0.565,18,23,0.783,6,26,32,10,5,1,10,12,27,66,0.409,8,26,0.308,19,40,0.475,0.47,6,8,0.75,10,21,31,10,5,8,10,15
16.0,16.0,2025-01-11,@,Saint Joseph's,REG (Conf),L,57,93,,23,67,0.343,8,21,0.381,15,46,0.326,0.403,3,10,0.3,12,19,31,11,7,3,12,13,34,62,0.548,18,33,0.545,16,29,0.552,0.694,7,11,0.636,7,29,36,18,8,8,10,15
17.0,17.0,2025-01-15,,Rhode Island,REG (Conf),W,81,77,,28,56,0.5,6,18,0.333,22,38,0.579,0.554,19,25,0.76,6,21,27,19,7,4,5,22,26,55,0.473,6,23,0.261,20,32,0.625,0.527,19,29,0.655,10,22,32,16,2,0,11,18
18.0,18.0,2025-01-18,@,Dayton,REG (Conf),L,81,83,OT,30,58,0.517,12,29,0.414,18,29,0.621,0.621,9,14,0.643,8,22,30,17,6,5,19,25,27,57,0.474,8,22,0.364,19,35,0.543,0.544,21,27,0.778,7,22,29,15,7,3,12,16
19.0,19.0,2025-01-22,,Fordham,REG (Conf),W,70,66,,25,48,0.521,6,19,0.316,19,29,0.655,0.583,14,19,0.737,5,17,22,16,6,2,12,14,22,49,0.449,9,25,0.36,13,24,0.542,0.541,13,15,0.867,8,17,25,15,6,1,17,17
20.0,20.0,2025-01-29,@,George Mason,REG (Conf),L,53,58,OT,18,56,0.321,6,28,0.214,12,28,0.429,0.375,11,16,0.688,9,31,40,12,2,8,14,19,22,64,0.344,3,20,0.15,19,44,0.432,0.367,11,22,0.5,11,25,36,7,11,3,6,14
21.0,21.0,2025-02-01,,Saint Joseph's,REG (Conf),W,58,55,,23,52,0.442,4,15,0.267,19,37,0.514,0.481,8,11,0.727,5,24,29,12,8,6,15,18,16,55,0.291,3,19,0.158,13,36,0.361,0.318,20,24,0.833,12,22,34,4,6,7,12,12
22.0,22.0,2025-02-04,,St. Bonaventure,REG (Conf),W,77,53,,31,52,0.596,11,29,0.379,20,23,0.87,0.702,4,6,0.667,5,28,33,24,11,6,15,13,20,52,0.385,5,18,0.278,15,34,0.441,0.433,8,12,0.667,6,12,18,5,7,1,15,11
23.0,23.0,2025-02-08,@,Duquesne,REG (Conf),L,56,69,,20,53,0.377,7,23,0.304,13,30,0.433,0.443,9,12,0.75,8,24,32,10,4,6,15,14,28,65,0.431,7,24,0.292,21,41,0.512,0.485,6,10,0.6,12,22,34,16,8,5,9,15
24.0,24.0,2025-02-11,@,Richmond,REG (Conf),W,87,80,OT,29,65,0.446,18,44,0.409,11,21,0.524,0.585,11,15,0.733,11,19,30,16,4,3,9,16,30,60,0.5,7,18,0.389,23,42,0.548,0.558,13,13,1.0,8,22,30,13,2,1,9,17
25.0,25.0,2025-02-14,,Saint Louis,REG (Conf),W,78,69,,25,58,0.431,12,24,0.5,13,34,0.382,0.534,16,21,0.762,4,25,29,18,8,8,7,14,24,57,0.421,11,29,0.379,13,28,0.464,0.518,10,12,0.833,3,26,29,19,3,3,11,15
26.0,26.0,2025-02-18,@,Davidson,REG (Conf),W,77,69,,27,63,0.429,11,31,0.355,16,32,0.5,0.516,12,18,0.667,14,28,42,15,9,2,9,20,22,58,0.379,7,25,0.28,15,33,0.455,0.44,18,26,0.692,11,23,34,12,3,2,9,16
27.0,27.0,2025-02-21,,Dayton,REG (Conf),W,76,72,,27,54,0.5,5,14,0.357,22,40,0.55,0.546,17,27,0.63,4,22,26,19,6,7,9,19,24,62,0.387,6,25,0.24,18,37,0.486,0.435,18,23,0.783,9,23,32,12,5,4,8,20
28.0,28.0,2025-02-26,,George Washington,REG (Conf),W,77,57,,30,57,0.526,11,29,0.379,19,28,0.679,0.623,6,11,0.545,10,29,39,21,5,7,15,17,20,54,0.37,7,19,0.368,13,35,0.371,0.435,10,17,0.588,4,19,23,12,7,4,14,13
29.0,29.0,2025-03-01,@,Saint Louis,REG (Conf),L,67,98,,24,54,0.444,7,19,0.368,17,35,0.486,0.509,12,20,0.6,6,14,20,11,3,1,8,23,28,48,0.583,18,34,0.529,10,14,0.714,0.771,24,28,0.857,5,23,28,18,8,1,9,17
30.0,30.0,2025-03-05,,Davidson,REG (Conf),W,82,72,,29,58,0.5,13,29,0.448,16,29,0.552,0.612,11,15,0.733,4,25,29,20,8,5,11,16,26,60,0.433,8,20,0.4,18,40,0.45,0.5,12,14,0.857,6,24,30,16,7,4,13,12
31.0,31.0,2025-03-08,@,Massachusetts,REG (Conf),W,74,51,,28,60,0.467,13,38,0.342,15,22,0.682,0.575,5,9,0.556,9,32,41,21,6,7,11,17,17,64,0.266,1,21,0.048,16,43,0.372,0.273,16,17,0.941,12,17,29,5,9,1,8,11
32.0,32.0,2025-03-14,N,Saint Louis,CTOURN,W,72,64,,26,57,0.456,6,17,0.353,20,40,0.5,0.509,14,21,0.667,8,26,34,12,6,4,9,15,22,51,0.431,8,26,0.308,14,25,0.56,0.51,12,18,0.667,5,22,27,10,5,3,9,17
33.0,33.0,2025-03-15,N,VCU,CTOURN,L,55,62,,20,68,0.294,5,25,0.2,15,43,0.349,0.331,10,16,0.625,18,23,41,10,7,4,10,18,22,51,0.431,6,24,0.25,16,27,0.593,0.49,12,21,0.571,8,28,36,11,6,6,10,16
