Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2024-11-04,,Central Connecticut State,REG (Non-Conf),W,59,55,,20,53,0.377,8,32,0.25,12,21,0.571,0.453,11,15,0.733,13,26,39,12,3,3,15,19,17,54,0.315,0,8,0.0,17,46,0.37,0.315,21,26,0.808,7,21,28,3,12,3,6,16
2.0,2.0,2024-11-09,,Stonehill,REG (Non-Conf),W,76,49,,27,54,0.5,9,26,0.346,18,28,0.643,0.583,13,21,0.619,11,34,45,17,7,2,20,18,17,53,0.321,6,21,0.286,11,32,0.344,0.377,9,22,0.409,5,19,24,9,11,2,14,21
3.0,3.0,2024-11-12,,Hampton,REG (Non-Conf),W,60,51,,20,46,0.435,10,29,0.345,10,17,0.588,0.543,10,20,0.5,10,25,35,11,4,5,14,14,16,56,0.286,7,25,0.28,9,31,0.29,0.348,12,13,0.923,11,17,28,6,8,0,10,18
4.0,4.0,2024-11-16,,Green Bay,REG (Non-Conf),W,79,65,,27,62,0.435,9,29,0.31,18,33,0.545,0.508,16,28,0.571,11,26,37,14,9,3,5,18,24,56,0.429,8,29,0.276,16,27,0.593,0.5,9,15,0.6,4,27,31,11,1,1,11,19
5.0,5.0,2024-11-19,,Delaware State,REG (Non-Conf),W,78,48,,29,59,0.492,11,33,0.333,18,26,0.692,0.585,9,13,0.692,13,31,44,21,3,3,9,16,20,53,0.377,1,7,0.143,19,46,0.413,0.387,7,15,0.467,6,17,23,3,7,2,7,15
6.0,6.0,2024-11-27,N,Oklahoma,REG (Non-Conf),L,77,79,,24,56,0.429,12,33,0.364,12,23,0.522,0.536,17,23,0.739,8,20,28,13,5,0,16,21,25,49,0.51,7,19,0.368,18,30,0.6,0.582,22,29,0.759,4,19,23,11,12,2,13,20
7.0,7.0,2024-11-28,N,Davidson,REG (Non-Conf),L,58,69,,18,58,0.31,8,21,0.381,10,37,0.27,0.379,14,18,0.778,12,21,33,8,4,3,5,18,23,49,0.469,6,19,0.316,17,30,0.567,0.531,17,21,0.81,3,27,30,12,2,3,6,16
8.0,8.0,2024-11-29,N,Indiana,REG (Non-Conf),L,73,89,,25,64,0.391,10,30,0.333,15,34,0.441,0.469,13,21,0.619,12,19,31,15,5,4,6,19,32,60,0.533,8,15,0.533,24,45,0.533,0.6,17,20,0.85,6,25,31,20,5,5,10,18
9.0,9.0,2024-12-03,,Brigham Young,REG (Non-Conf),W,83,64,,25,42,0.595,12,22,0.545,13,20,0.65,0.738,21,26,0.808,2,27,29,12,3,2,8,21,23,69,0.333,7,25,0.28,16,44,0.364,0.384,11,17,0.647,20,15,35,9,4,1,4,19
10.0,10.0,2024-12-07,@,Rhode Island,REG (Non-Conf),L,63,69,,25,57,0.439,5,20,0.25,20,37,0.541,0.482,8,15,0.533,8,26,34,9,10,4,13,17,26,61,0.426,5,15,0.333,21,46,0.457,0.467,12,19,0.632,12,26,38,11,9,6,12,12
11.0,11.0,2024-12-10,@,DePaul,REG (Conf),W,70,63,OT,28,63,0.444,8,26,0.308,20,37,0.541,0.508,6,9,0.667,7,33,40,15,8,4,16,14,22,67,0.328,11,33,0.333,11,34,0.324,0.41,8,15,0.533,7,25,32,17,5,4,10,12
12.0,12.0,2024-12-14,N,St. Bonaventure,REG (Non-Conf),L,70,74,,20,56,0.357,10,32,0.313,10,24,0.417,0.446,20,24,0.833,14,19,33,8,4,5,9,19,25,60,0.417,4,14,0.286,21,46,0.457,0.45,20,28,0.714,14,19,33,9,5,2,7,17
13.0,13.0,2024-12-20,,St. John's (NY),REG (Conf),L,70,72,,25,52,0.481,7,19,0.368,18,33,0.545,0.548,13,17,0.765,5,33,38,6,1,3,16,23,29,73,0.397,3,18,0.167,26,55,0.473,0.418,11,26,0.423,14,20,34,11,12,6,5,16
14.0,14.0,2024-12-31,,Marquette,REG (Conf),L,50,78,,17,50,0.34,8,28,0.286,9,22,0.409,0.42,8,14,0.571,14,21,35,11,5,2,20,14,29,66,0.439,11,36,0.306,18,30,0.6,0.523,9,11,0.818,13,20,33,16,15,3,5,12
15.0,15.0,2025-01-05,@,Connecticut,REG (Conf),L,84,87,,30,60,0.5,4,13,0.308,26,47,0.553,0.533,20,23,0.87,12,16,28,5,3,4,9,25,27,48,0.563,6,13,0.462,21,35,0.6,0.625,27,32,0.844,5,16,21,16,6,7,7,16
16.0,16.0,2025-01-08,,Butler,REG (Conf),W,84,65,,34,70,0.486,10,24,0.417,24,46,0.522,0.557,6,9,0.667,12,28,40,10,4,5,8,17,23,57,0.404,4,16,0.25,19,41,0.463,0.439,15,19,0.789,5,18,23,9,4,2,6,10
17.0,17.0,2025-01-11,,Seton Hall,REG (Conf),W,91,85,,28,52,0.538,12,25,0.48,16,27,0.593,0.654,23,33,0.697,8,23,31,16,4,8,10,14,31,69,0.449,7,22,0.318,24,47,0.511,0.5,16,20,0.8,13,17,30,14,8,1,8,23
18.0,18.0,2025-01-14,@,Creighton,REG (Conf),L,64,84,,26,68,0.382,4,20,0.2,22,48,0.458,0.412,8,9,0.889,12,24,36,8,7,4,12,14,32,62,0.516,14,32,0.438,18,30,0.6,0.629,6,12,0.5,5,28,33,15,6,7,10,8
19.0,19.0,2025-01-17,@,Villanova,REG (Conf),L,73,75,,24,56,0.429,14,36,0.389,10,20,0.5,0.554,11,15,0.733,4,24,28,16,4,3,9,17,26,60,0.433,7,26,0.269,19,34,0.559,0.492,16,18,0.889,7,25,32,6,6,3,7,10
20.0,20.0,2025-01-25,,Georgetown,REG (Conf),W,78,68,,28,62,0.452,7,22,0.318,21,40,0.525,0.508,15,19,0.789,14,19,33,14,7,7,6,14,28,60,0.467,4,13,0.308,24,47,0.511,0.5,8,12,0.667,13,17,30,10,4,5,11,15
21.0,21.0,2025-01-28,@,Seton Hall,REG (Conf),W,69,67,,22,45,0.489,9,21,0.429,13,24,0.542,0.589,16,23,0.696,8,22,30,12,4,4,18,24,20,54,0.37,4,22,0.182,16,32,0.5,0.407,23,30,0.767,8,15,23,11,12,1,12,17
22.0,22.0,2025-02-01,@,St. John's (NY),REG (Conf),L,66,68,,24,56,0.429,12,28,0.429,12,28,0.429,0.536,6,9,0.667,8,28,36,16,4,6,17,18,26,68,0.382,7,21,0.333,19,47,0.404,0.434,9,14,0.643,10,18,28,19,7,0,9,14
23.0,23.0,2025-02-05,,Creighton,REG (Conf),L,69,80,,27,66,0.409,11,26,0.423,16,40,0.4,0.492,4,6,0.667,7,30,37,12,4,3,10,17,27,65,0.415,8,31,0.258,19,34,0.559,0.477,18,21,0.857,6,29,35,13,6,5,5,10
24.0,24.0,2025-02-08,@,Butler,REG (Conf),L,81,82,,30,60,0.5,16,32,0.5,14,28,0.5,0.633,5,6,0.833,4,16,20,20,6,3,10,18,30,60,0.5,10,19,0.526,20,41,0.488,0.583,12,21,0.571,10,20,30,16,6,1,9,10
25.0,25.0,2025-02-12,,Xavier,REG (Conf),L,82,91,,36,67,0.537,8,25,0.32,28,42,0.667,0.597,2,10,0.2,10,22,32,16,2,2,11,16,26,59,0.441,13,27,0.481,13,32,0.406,0.551,26,29,0.897,8,25,33,17,7,3,10,14
26.0,26.0,2025-02-15,,Villanova,REG (Conf),W,75,62,,23,44,0.523,13,27,0.481,10,17,0.588,0.67,16,28,0.571,2,26,28,17,5,4,10,15,23,53,0.434,5,19,0.263,18,34,0.529,0.481,11,13,0.846,3,24,27,7,6,0,9,18
27.0,27.0,2025-02-19,@,Georgetown,REG (Conf),L,72,93,,23,62,0.371,10,32,0.313,13,30,0.433,0.452,16,20,0.8,11,20,31,10,4,4,13,22,30,59,0.508,10,23,0.435,20,36,0.556,0.593,23,28,0.821,7,24,31,15,11,2,8,18
28.0,28.0,2025-02-25,@,Marquette,REG (Conf),L,52,82,,19,56,0.339,6,26,0.231,13,30,0.433,0.393,8,11,0.727,9,23,32,10,5,3,16,12,27,61,0.443,17,41,0.415,10,20,0.5,0.582,11,16,0.688,8,27,35,22,10,3,10,13
29.0,29.0,2025-03-01,,Connecticut,REG (Conf),L,63,75,,20,50,0.4,8,20,0.4,12,30,0.4,0.48,15,23,0.652,6,17,23,13,7,2,7,16,28,52,0.538,9,20,0.45,19,32,0.594,0.625,10,15,0.667,8,27,35,14,3,7,11,15
30.0,30.0,2025-03-05,,DePaul,REG (Conf),L,77,80,,28,56,0.5,6,18,0.333,22,38,0.579,0.554,15,19,0.789,9,20,29,15,8,0,12,11,30,56,0.536,10,24,0.417,20,32,0.625,0.625,10,12,0.833,5,18,23,14,6,6,11,16
31.0,31.0,2025-03-08,@,Xavier,REG (Conf),L,68,76,,26,54,0.481,12,24,0.5,14,30,0.467,0.593,4,11,0.364,7,21,28,19,6,1,16,17,26,58,0.448,7,20,0.35,19,38,0.5,0.509,17,21,0.81,10,20,30,22,8,0,11,13
32.0,32.0,2025-03-12,N,Butler,CTOURN,L,69,75,,29,77,0.377,8,35,0.229,21,42,0.5,0.429,3,4,0.75,23,28,51,12,4,3,13,12,30,62,0.484,8,25,0.32,22,37,0.595,0.548,7,10,0.7,6,22,28,12,10,0,6,8
,,,,,,12-20,2283,2320,,807,1833,0.44,297,834,0.356,510,999,0.511,0.521,372,542,0.686,306,768,1074,413,159,109,379,550,818,1889,0.433,234,698,0.335,584,1191,0.49,0.495,450,620,0.726,263,687,950,400,234,93,280,479
