Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2024-11-04,,Sacred Heart,REG (Non-Conf),W,81,70,,27,55,0.491,11,23,0.478,16,32,0.5,0.591,16,23,0.696,6,26,32,14,10,5,16,12,29,68,0.426,5,20,0.25,24,48,0.5,0.463,7,11,0.636,11,24,35,11,10,3,16,20
2.0,2.0,2024-11-08,N,Monmouth,REG (Non-Conf),W,103,74,,34,65,0.523,10,27,0.37,24,38,0.632,0.6,25,32,0.781,10,30,40,17,7,4,6,19,22,67,0.328,8,27,0.296,14,40,0.35,0.388,22,24,0.917,15,21,36,18,2,1,11,23
3.0,3.0,2024-11-12,,Drexel,REG (Non-Conf),W,69,61,,22,53,0.415,4,12,0.333,18,41,0.439,0.453,21,31,0.677,10,27,37,8,5,3,7,13,23,67,0.343,7,33,0.212,16,34,0.471,0.396,8,12,0.667,16,25,41,14,3,2,7,21
4.0,4.0,2024-11-15,@,Boston College,REG (Non-Conf),L,69,72,,25,59,0.424,8,18,0.444,17,41,0.415,0.492,11,18,0.611,8,23,31,7,3,6,10,19,26,61,0.426,7,20,0.35,19,41,0.463,0.484,13,20,0.65,10,24,34,14,5,5,7,21
5.0,5.0,2024-11-22,N,Florida State,REG (Non-Conf),L,69,78,,22,56,0.393,5,21,0.238,17,35,0.486,0.438,20,32,0.625,8,22,30,7,9,2,14,23,28,61,0.459,7,19,0.368,21,42,0.5,0.516,15,24,0.625,11,24,35,12,9,6,15,24
6.0,6.0,2024-11-23,N,Massachusetts,REG (Non-Conf),W,87,80,,28,59,0.475,5,17,0.294,23,42,0.548,0.517,26,38,0.684,11,24,35,5,5,6,10,24,22,56,0.393,5,23,0.217,17,33,0.515,0.438,31,42,0.738,12,18,30,10,7,4,10,26
7.0,7.0,2024-11-30,@,La Salle,REG (Non-Conf),L,75,83,,30,67,0.448,1,16,0.063,29,51,0.569,0.455,14,16,0.875,8,32,40,13,4,4,15,15,32,81,0.395,7,25,0.28,25,56,0.446,0.438,12,16,0.75,13,26,39,16,12,8,6,16
8.0,8.0,2024-12-07,N,Villanova,REG (Non-Conf),L,65,94,,20,54,0.37,7,23,0.304,13,31,0.419,0.435,18,29,0.621,10,14,24,14,8,0,5,17,31,53,0.585,19,30,0.633,12,23,0.522,0.764,13,20,0.65,8,24,32,17,3,2,12,25
9.0,9.0,2024-12-10,,,REG (Non-Conf),W,110,81,,37,63,0.587,13,30,0.433,24,33,0.727,0.69,23,29,0.793,6,21,27,19,12,8,5,15,30,63,0.476,10,20,0.5,20,43,0.465,0.556,11,17,0.647,8,19,27,19,3,4,18,20
10.0,10.0,2024-12-15,@,Hofstra,REG (Non-Conf),W,60,42,,20,64,0.313,4,16,0.25,16,48,0.333,0.344,16,20,0.8,11,35,46,8,7,3,8,16,14,56,0.25,5,29,0.172,9,27,0.333,0.295,9,15,0.6,8,30,38,8,6,12,9,17
11.0,11.0,2024-12-18,,Davidson,REG (Non-Conf),W,62,61,,23,54,0.426,3,19,0.158,20,35,0.571,0.454,13,16,0.813,9,25,34,7,6,5,10,12,23,62,0.371,7,24,0.292,16,38,0.421,0.427,8,12,0.667,12,21,33,11,7,1,9,12
12.0,12.0,2024-12-21,N,Rhode Island,REG (Non-Conf),L,79,85,,29,64,0.453,9,23,0.391,20,41,0.488,0.523,12,16,0.75,8,20,28,12,11,3,10,18,29,56,0.518,8,22,0.364,21,34,0.618,0.589,19,22,0.864,4,28,32,17,7,1,16,16
13.0,13.0,2024-12-29,,Buffalo,REG (Non-Conf),W,91,71,,30,57,0.526,8,21,0.381,22,36,0.611,0.596,23,35,0.657,8,30,38,18,9,4,15,18,25,64,0.391,8,29,0.276,17,35,0.486,0.453,13,22,0.591,6,21,27,14,11,3,13,25
